	Autocorrelation	Lag	Model	Name
5	0.8395122575260823	5	Model 0	2_37
6	0.8283938653746169	6	Model 0	2_37
7	0.8074660336017765	7	Model 0	2_37
8	0.8136556121155725	8	Model 0	2_37
9	0.7969271554620375	9	Model 0	2_37
0	1.0	0	Model 0	2_40
1	0.9629582802042267	1	Model 0	2_40
2	0.9392498720001896	2	Model 0	2_40
3	0.9306907954405867	3	Model 0	2_40
4	0.9249473043648585	4	Model 0	2_40
5	0.9157033943834596	5	Model 0	2_40
6	0.9160470804610263	6	Model 0	2_40
7	0.9107712644338001	7	Model 0	2_40
8	0.9034467616635041	8	Model 0	2_40
9	0.898829664152232	9	Model 0	2_40
0	1.0	0	Model 0	2_53
1	0.9355961719757603	1	Model 0	2_53
2	0.8984095827812181	2	Model 0	2_53
3	0.8714917180011833	3	Model 0	2_53
4	0.8562569161005481	4	Model 0	2_53
5	0.8484188491541984	5	Model 0	2_53
6	0.8445171521771712	6	Model 0	2_53
7	0.8506905899101809	7	Model 0	2_53
8	0.8535512323208362	8	Model 0	2_53
9	0.8429066897345061	9	Model 0	2_53
0	0.9999999999999998	0	Model 0	2_54
1	0.8275972945372189	1	Model 0	2_54
2	0.7880153806930056	2	Model 0	2_54
3	0.7874191802856403	3	Model 0	2_54
4	0.7803694990160202	4	Model 0	2_54
5	0.7602810891560883	5	Model 0	2_54
6	0.7709058407346977	6	Model 0	2_54
7	0.7687536987325184	7	Model 0	2_54
8	0.754608423093957	8	Model 0	2_54
9	0.7855297799495745	9	Model 0	2_54
0	1.0	0	Model 0	2_57
1	0.9221456382465659	1	Model 0	2_57
2	0.8909443558786987	2	Model 0	2_57
3	0.8775169310674944	3	Model 0	2_57
4	0.8774929352864549	4	Model 0	2_57
5	0.8709076038240349	5	Model 0	2_57
6	0.8647514419900504	6	Model 0	2_57
7	0.8585728776875986	7	Model 0	2_57
8	0.8752866428571122	8	Model 0	2_57
9	0.861058460782049	9	Model 0	2_57
0	1.0	0	Model 0	2_61
1	0.9053457516539339	1	Model 0	2_61
2	0.8313362530731748	2	Model 0	2_61
3	0.8146855420765468	3	Model 0	2_61
4	0.8124324789963983	4	Model 0	2_61
5	0.8092670823716015	5	Model 0	2_61
6	0.8140573143195307	6	Model 0	2_61
7	0.8210036362259222	7	Model 0	2_61
8	0.823065621627688	8	Model 0	2_61
9	0.8067962345849815	9	Model 0	2_61
0	1.0	0	Model 0	2_62
1	0.9609828822361041	1	Model 0	2_62
2	0.9358717905948052	2	Model 0	2_62
3	0.9293852033855603	3	Model 0	2_62
4	0.9153116881727157	4	Model 0	2_62
5	0.9032065819479809	5	Model 0	2_62
6	0.8945429213271635	6	Model 0	2_62
7	0.880925806109195	7	Model 0	2_62
8	0.8691248431599675	8	Model 0	2_62
9	0.8694516016303768	9	Model 0	2_62
0	1.0	0	Model 0	2_66
1	0.9288213827016143	1	Model 0	2_66
2	0.8892868218668014	2	Model 0	2_66
3	0.8775079800603387	3	Model 0	2_66
4	0.8522847002626591	4	Model 0	2_66
5	0.8344275525674014	5	Model 0	2_66
6	0.8141593540825985	6	Model 0	2_66
7	0.7904487566184694	7	Model 0	2_66
8	0.770834235512707	8	Model 0	2_66
9	0.7710714258811211	9	Model 0	2_66
0	0.9999999999999998	0	Model 0	2_70
1	0.9229331622459369	1	Model 0	2_70
2	0.8889383210009083	2	Model 0	2_70
3	0.8776091041587466	3	Model 0	2_70
4	0.8645053949915921	4	Model 0	2_70
5	0.8557731125846275	5	Model 0	2_70
6	0.8526138664516741	6	Model 0	2_70
7	0.8512991092883473	7	Model 0	2_70
8	0.8406828127104089	8	Model 0	2_70
9	0.8288383092857015	9	Model 0	2_70
0	1.0	0	Model 0	2_82
1	0.9882329631645165	1	Model 0	2_82
2	0.977239361266925	2	Model 0	2_82
3	0.9682412400423273	3	Model 0	2_82
4	0.959747943748936	4	Model 0	2_82
5	0.9570528060233552	5	Model 0	2_82
6	0.9517051382361583	6	Model 0	2_82
7	0.9458617565197732	7	Model 0	2_82
8	0.9425319025224519	8	Model 0	2_82
9	0.940610047823019	9	Model 0	2_82
0	0.9999999999999996	0	Model 0	2_86
1	0.9486289565541811	1	Model 0	2_86
2	0.9175851245683476	2	Model 0	2_86
3	0.8948481190367678	3	Model 0	2_86
4	0.8807741377218571	4	Model 0	2_86
5	0.8562038115558781	5	Model 0	2_86
6	0.8312249441028168	6	Model 0	2_86
7	0.8131598015006775	7	Model 0	2_86
8	0.8160088014809359	8	Model 0	2_86
9	0.8148174419070028	9	Model 0	2_86
0	0.9999999999999998	0	Model 0	2_89
1	0.9051557761661385	1	Model 0	2_89
2	0.8872655721425868	2	Model 0	2_89
3	0.8960298848646829	3	Model 0	2_89
4	0.8881032615335697	4	Model 0	2_89
5	0.8955181472947027	5	Model 0	2_89
6	0.8906174355310642	6	Model 0	2_89
7	0.8893130386285332	7	Model 0	2_89
8	0.8841618166629525	8	Model 0	2_89
9	0.8742088773907855	9	Model 0	2_89
0	1.0	0	Model 0	2_107
1	0.9169087627686923	1	Model 0	2_107
2	0.8901659799339848	2	Model 0	2_107
3	0.8811647420411698	3	Model 0	2_107
4	0.8656430071752255	4	Model 0	2_107
5	0.8522070106411431	5	Model 0	2_107
6	0.85379220022649	6	Model 0	2_107
7	0.8565890313432376	7	Model 0	2_107
8	0.849177329222365	8	Model 0	2_107
9	0.8354961780108027	9	Model 0	2_107
0	1.0	0	Model 0	2_109
1	0.9426422282097345	1	Model 0	2_109
2	0.905874955808933	2	Model 0	2_109
3	0.8943875068842645	3	Model 0	2_109
4	0.8914960693399956	4	Model 0	2_109
5	0.8784447377469681	5	Model 0	2_109
6	0.8716723440070386	6	Model 0	2_109
7	0.8712013988333782	7	Model 0	2_109
8	0.8679332646832627	8	Model 0	2_109
9	0.8591487550146968	9	Model 0	2_109
0	0.9999999999999998	0	Model 0	2_111
1	0.9465396638052862	1	Model 0	2_111
2	0.9178301699149312	2	Model 0	2_111
3	0.8977055691904652	3	Model 0	2_111
4	0.8853214875373154	4	Model 0	2_111
5	0.8701740595013366	5	Model 0	2_111
6	0.8582711724690922	6	Model 0	2_111
7	0.851539292733419	7	Model 0	2_111
8	0.8570638326367968	8	Model 0	2_111
9	0.859428153559605	9	Model 0	2_111
0	1.0	0	Model 0	2_113
1	0.9138428806412907	1	Model 0	2_113
2	0.8758599895581117	2	Model 0	2_113
3	0.8487399902179599	3	Model 0	2_113
4	0.847376703646821	4	Model 0	2_113
5	0.8350440150907549	5	Model 0	2_113
6	0.825594511964896	6	Model 0	2_113
7	0.8093617204492017	7	Model 0	2_113
8	0.7858910099359918	8	Model 0	2_113
9	0.7834920870132824	9	Model 0	2_113
0	1.0	0	Model 0	2_127
1	0.901539813708616	1	Model 0	2_127
2	0.8776990064347043	2	Model 0	2_127
3	0.8709779550171226	3	Model 0	2_127
4	0.8707197197662275	4	Model 0	2_127
5	0.8678280707558527	5	Model 0	2_127
6	0.8474174863844791	6	Model 0	2_127
7	0.8754206645738317	7	Model 0	2_127
8	0.8724592508519639	8	Model 0	2_127
9	0.8626591670270136	9	Model 0	2_127
0	0.9999999999999999	0	Model 0	2_131
1	0.9458091745912931	1	Model 0	2_131
2	0.9165481086440898	2	Model 0	2_131
3	0.897918186035798	3	Model 0	2_131
4	0.899590051914246	4	Model 0	2_131
5	0.890562420163228	5	Model 0	2_131
6	0.8894238321389366	6	Model 0	2_131
7	0.8807025422143397	7	Model 0	2_131
8	0.8833153539967988	8	Model 0	2_131
9	0.8917101711107916	9	Model 0	2_131
0	1.0	0	Model 0	2_138
1	0.9506975878560308	1	Model 0	2_138
2	0.923578383172125	2	Model 0	2_138
3	0.9156288504627885	3	Model 0	2_138
4	0.902634160082033	4	Model 0	2_138
5	0.8991420635189127	5	Model 0	2_138
6	0.8781950387422798	6	Model 0	2_138
7	0.8629345068172211	7	Model 0	2_138
8	0.8475590155638997	8	Model 0	2_138
9	0.8405851088801487	9	Model 0	2_138
0	1.0	0	Model 0	2_140
1	0.9192158634752651	1	Model 0	2_140
2	0.9016808892918353	2	Model 0	2_140
3	0.9043581462690049	3	Model 0	2_140
4	0.9040884192146479	4	Model 0	2_140
5	0.8711801507848135	5	Model 0	2_140
6	0.8665222568251714	6	Model 0	2_140
7	0.8697320873953567	7	Model 0	2_140
8	0.8774486573611394	8	Model 0	2_140
9	0.8700474088433385	9	Model 0	2_140
0	1.0	0	Model 0	2_145
1	0.9207266436984372	1	Model 0	2_145
2	0.8852281185802288	2	Model 0	2_145
3	0.8612707394020652	3	Model 0	2_145
4	0.8502261032546816	4	Model 0	2_145
5	0.8319010805843937	5	Model 0	2_145
6	0.8187559958665409	6	Model 0	2_145
7	0.8178573310874911	7	Model 0	2_145
8	0.8107802252223393	8	Model 0	2_145
9	0.8099760859987087	9	Model 0	2_145
0	1.0	0	Model 0	2_150
1	0.9710602881530843	1	Model 0	2_150
2	0.9634748963698825	2	Model 0	2_150
3	0.9612438251396545	3	Model 0	2_150
4	0.9564730124835287	4	Model 0	2_150
5	0.9562675388036085	5	Model 0	2_150
6	0.9467004520810162	6	Model 0	2_150
7	0.9456849105265104	7	Model 0	2_150
8	0.9453443710317531	8	Model 0	2_150
9	0.9400649801048775	9	Model 0	2_150
0	0.9999999999999994	0	Model 0	2_153
1	0.9387354275217735	1	Model 0	2_153
2	0.8974367498956232	2	Model 0	2_153
3	0.874909948655952	3	Model 0	2_153
4	0.8656586403893888	4	Model 0	2_153
5	0.8520953797127221	5	Model 0	2_153
6	0.831663357614589	6	Model 0	2_153
7	0.8143863818900652	7	Model 0	2_153
8	0.8011029099762763	8	Model 0	2_153
9	0.7987733566572233	9	Model 0	2_153
0	1.0	0	Model 0	2_157
1	0.9452963927626945	1	Model 0	2_157
2	0.9158961018994851	2	Model 0	2_157
3	0.8953434865686035	3	Model 0	2_157
4	0.8783883945942673	4	Model 0	2_157
5	0.8630353966236657	5	Model 0	2_157
6	0.8406896531351448	6	Model 0	2_157
7	0.8273121523422186	7	Model 0	2_157
8	0.8145194445394194	8	Model 0	2_157
9	0.8002014784164346	9	Model 0	2_157
0	1.0	0	Model 0	2_159
1	0.960557779796738	1	Model 0	2_159
2	0.9277884211227573	2	Model 0	2_159
3	0.9127966097536352	3	Model 0	2_159
4	0.9046658604857548	4	Model 0	2_159
5	0.8994206489913656	5	Model 0	2_159
6	0.8860044381209004	6	Model 0	2_159
7	0.8745122687494133	7	Model 0	2_159
8	0.8672692132393413	8	Model 0	2_159
9	0.8595907433477236	9	Model 0	2_159
0	1.0	0	Model 0	2_169
1	0.8868116940898149	1	Model 0	2_169
2	0.8456970596900263	2	Model 0	2_169
3	0.8620042217077772	3	Model 0	2_169
4	0.8618391279911491	4	Model 0	2_169
5	0.8613438467141064	5	Model 0	2_169
6	0.8542445153863704	6	Model 0	2_169
7	0.8481320777490132	7	Model 0	2_169
8	0.8548305602786694	8	Model 0	2_169
9	0.856278726709603	9	Model 0	2_169
0	1.0	0	Model 0	2_172
1	0.8982326434396131	1	Model 0	2_172
2	0.8557337444805946	2	Model 0	2_172
3	0.8527581466831534	3	Model 0	2_172
4	0.8450355585843101	4	Model 0	2_172
5	0.838846535237276	5	Model 0	2_172
6	0.8468994481197151	6	Model 0	2_172
7	0.8471403177897635	7	Model 0	2_172
8	0.8286572675944051	8	Model 0	2_172
9	0.8334183477912189	9	Model 0	2_172
0	1.0	0	Model 0	2_187
1	0.8846332245712198	1	Model 0	2_187
2	0.8199010334389925	2	Model 0	2_187
3	0.8160123258562222	3	Model 0	2_187
4	0.8285896525110706	4	Model 0	2_187
5	0.8543288132469588	5	Model 0	2_187
6	0.8475904013542119	6	Model 0	2_187
7	0.8110215047414798	7	Model 0	2_187
8	0.7843384012046601	8	Model 0	2_187
9	0.8032532745783915	9	Model 0	2_187
0	1.0	0	Model 0	2_196
1	0.9504824699150108	1	Model 0	2_196
2	0.9298237273856353	2	Model 0	2_196
3	0.9162457542266602	3	Model 0	2_196
4	0.9057930109694249	4	Model 0	2_196
5	0.88671206902441	5	Model 0	2_196
6	0.8764205102675666	6	Model 0	2_196
7	0.8656857020103477	7	Model 0	2_196
8	0.8592304763087908	8	Model 0	2_196
9	0.8538055829774576	9	Model 0	2_196
0	0.9999999999999996	0	Model 0	2_201
1	0.890150845719249	1	Model 0	2_201
2	0.8777115037441005	2	Model 0	2_201
3	0.8698037573790168	3	Model 0	2_201
4	0.8419660312299599	4	Model 0	2_201
5	0.816661559785848	5	Model 0	2_201
6	0.8204564516699078	6	Model 0	2_201
7	0.8308737808340992	7	Model 0	2_201
8	0.8181579982633381	8	Model 0	2_201
9	0.8179136772983663	9	Model 0	2_201
0	1.0	0	Model 0	2_205
1	0.9174365094091096	1	Model 0	2_205
2	0.8793231631148747	2	Model 0	2_205
3	0.8724648308349194	3	Model 0	2_205
4	0.8557451981056531	4	Model 0	2_205
5	0.8400833987822125	5	Model 0	2_205
6	0.8191779846956959	6	Model 0	2_205
7	0.8294116603160605	7	Model 0	2_205
8	0.8404289781760337	8	Model 0	2_205
9	0.8378464894920087	9	Model 0	2_205
0	1.0	0	Model 0	2_208
1	0.9392768807811861	1	Model 0	2_208
2	0.9037469122131347	2	Model 0	2_208
3	0.8892010186930739	3	Model 0	2_208
4	0.8796244437952506	4	Model 0	2_208
5	0.8679294882250157	5	Model 0	2_208
6	0.8562347511655781	6	Model 0	2_208
7	0.8450699289793093	7	Model 0	2_208
8	0.8350479293505437	8	Model 0	2_208
9	0.8305381060787433	9	Model 0	2_208
0	1.0	0	Model 0	2_209
1	0.9418846155968821	1	Model 0	2_209
2	0.895598326385181	2	Model 0	2_209
3	0.8715694610835258	3	Model 0	2_209
4	0.8553984776009769	4	Model 0	2_209
5	0.8500142240727682	5	Model 0	2_209
6	0.8346604935458682	6	Model 0	2_209
7	0.8127961992201519	7	Model 0	2_209
8	0.7913031211586171	8	Model 0	2_209
9	0.7687803285856025	9	Model 0	2_209
0	1.0	0	Model 0	2_212
1	0.9584579111351205	1	Model 0	2_212
2	0.9353026033752968	2	Model 0	2_212
3	0.9228690415311468	3	Model 0	2_212
4	0.913888324715792	4	Model 0	2_212
5	0.9039686485021878	5	Model 0	2_212
6	0.8930802391126564	6	Model 0	2_212
7	0.8856019400779641	7	Model 0	2_212
8	0.8852481991872218	8	Model 0	2_212
9	0.8842840552475291	9	Model 0	2_212
0	1.0	0	Model 0	2_213
1	0.9531363723386681	1	Model 0	2_213
2	0.924844013446985	2	Model 0	2_213
3	0.9099920325075407	3	Model 0	2_213
4	0.8987760414650179	4	Model 0	2_213
5	0.8813646867666263	5	Model 0	2_213
6	0.8759491197787774	6	Model 0	2_213
7	0.8736523825936405	7	Model 0	2_213
8	0.8615954374897199	8	Model 0	2_213
9	0.8563231182479051	9	Model 0	2_213
0	1.0	0	Model 0	2_214
1	0.9179516327803063	1	Model 0	2_214
2	0.8769347848648694	2	Model 0	2_214
3	0.8626111198396718	3	Model 0	2_214
4	0.8508247806390784	4	Model 0	2_214
5	0.8398338666432367	5	Model 0	2_214
6	0.8287363023562523	6	Model 0	2_214
7	0.826645348769653	7	Model 0	2_214
8	0.8295558622810224	8	Model 0	2_214
9	0.8179113634595881	9	Model 0	2_214
0	0.9999999999999998	0	Model 0	2_216
1	0.8427118972062926	1	Model 0	2_216
2	0.8148475304094144	2	Model 0	2_216
3	0.7949835238430272	3	Model 0	2_216
4	0.7779107910730285	4	Model 0	2_216
5	0.7529382369983846	5	Model 0	2_216
6	0.7569860671315916	6	Model 0	2_216
7	0.7637966436262681	7	Model 0	2_216
8	0.7770001902919768	8	Model 0	2_216
9	0.7675858628164263	9	Model 0	2_216
0	1.0	0	Model 0	2_217
1	0.8721778336824462	1	Model 0	2_217
2	0.8077455884350113	2	Model 0	2_217
3	0.7779293960798658	3	Model 0	2_217
4	0.7787028953518904	4	Model 0	2_217
5	0.7412127802186779	5	Model 0	2_217
6	0.7294885598643939	6	Model 0	2_217
7	0.7128295149571083	7	Model 0	2_217
8	0.7139429923373527	8	Model 0	2_217
9	0.6971909234981586	9	Model 0	2_217
0	1.0	0	Model 0	2_224
1	0.9297725036869436	1	Model 0	2_224
2	0.8919344856999101	2	Model 0	2_224
3	0.8645998179931061	3	Model 0	2_224
4	0.8464358449417072	4	Model 0	2_224
5	0.8385317563936525	5	Model 0	2_224
6	0.8335076158098217	6	Model 0	2_224
7	0.825343718285292	7	Model 0	2_224
8	0.8264158480458624	8	Model 0	2_224
9	0.8269703799960999	9	Model 0	2_224
0	1.0	0	Model 0	2_226
1	0.8967166042076073	1	Model 0	2_226
2	0.8433486495748511	2	Model 0	2_226
3	0.8400241598331103	3	Model 0	2_226
4	0.8188677745978152	4	Model 0	2_226
5	0.8006119420644499	5	Model 0	2_226
6	0.7901734343228883	6	Model 0	2_226
7	0.7839297663151087	7	Model 0	2_226
8	0.7652714446186589	8	Model 0	2_226
9	0.7673570450163038	9	Model 0	2_226
0	1.0	0	Model 0	2_229
1	0.9253538354529826	1	Model 0	2_229
2	0.8909684757634307	2	Model 0	2_229
3	0.8629529693083362	3	Model 0	2_229
4	0.8458312069531556	4	Model 0	2_229
5	0.8209635604720047	5	Model 0	2_229
6	0.8150542386844107	6	Model 0	2_229
7	0.8021270371600524	7	Model 0	2_229
8	0.7971983224584418	8	Model 0	2_229
9	0.7987966505349701	9	Model 0	2_229
0	1.0	0	Model 0	2_234
1	0.825510772571599	1	Model 0	2_234
2	0.7295737192680328	2	Model 0	2_234
3	0.6969626688820268	3	Model 0	2_234
4	0.7036007167964944	4	Model 0	2_234
5	0.689634867108278	5	Model 0	2_234
6	0.671875101996129	6	Model 0	2_234
7	0.6954064938729352	7	Model 0	2_234
8	0.6957096377767289	8	Model 0	2_234
9	0.6958034779568183	9	Model 0	2_234
0	0.9999999999999998	0	Model 0	2_238
1	0.9071379660931017	1	Model 0	2_238
2	0.8882802137925622	2	Model 0	2_238
3	0.8873996417001966	3	Model 0	2_238
4	0.8641921970393218	4	Model 0	2_238
5	0.8792164443716011	5	Model 0	2_238
6	0.8745233280381087	6	Model 0	2_238
7	0.8736142691750772	7	Model 0	2_238
8	0.8784311761496861	8	Model 0	2_238
9	0.8653843860269361	9	Model 0	2_238
0	1.0	0	Model 0	2_247
1	0.8894833740235679	1	Model 0	2_247
2	0.8671179679823453	2	Model 0	2_247
3	0.8521111341736168	3	Model 0	2_247
4	0.8515158091355822	4	Model 0	2_247
5	0.817123165429875	5	Model 0	2_247
6	0.8106329905551464	6	Model 0	2_247
7	0.8134477756662005	7	Model 0	2_247
8	0.8218564202378201	8	Model 0	2_247
9	0.8017766742336826	9	Model 0	2_247
0	1.0	0	Model 0	2_250
1	0.80955686501074	1	Model 0	2_250
2	0.76904653706888	2	Model 0	2_250
3	0.7349266303669041	3	Model 0	2_250
4	0.7337965057694114	4	Model 0	2_250
5	0.7051363111807059	5	Model 0	2_250
6	0.6797231492752686	6	Model 0	2_250
7	0.6730772592840523	7	Model 0	2_250
8	0.6609963333582888	8	Model 0	2_250
9	0.6656656337854364	9	Model 0	2_250
0	1.0	0	Model 0	2_253
1	0.9066915799262363	1	Model 0	2_253
2	0.8747527255877803	2	Model 0	2_253
3	0.8556964094861096	3	Model 0	2_253
4	0.8296016136257462	4	Model 0	2_253
5	0.8453636109373189	5	Model 0	2_253
6	0.8407599040066527	6	Model 0	2_253
7	0.8366829590051752	7	Model 0	2_253
8	0.820315131946425	8	Model 0	2_253
9	0.8105333121526701	9	Model 0	2_253
0	1.0	0	Model 0	2_260
1	0.9319073128517485	1	Model 0	2_260
2	0.8873170221948025	2	Model 0	2_260
3	0.857017958175412	3	Model 0	2_260
4	0.829543815458888	4	Model 0	2_260
5	0.8276113473811442	5	Model 0	2_260
6	0.8245216553681	6	Model 0	2_260
7	0.8085057369126674	7	Model 0	2_260
8	0.7851693649493074	8	Model 0	2_260
9	0.7680090859093167	9	Model 0	2_260
0	1.0	0	Model 0	2_261
1	0.9445602642048377	1	Model 0	2_261
2	0.9046156788000479	2	Model 0	2_261
3	0.874001547468784	3	Model 0	2_261
4	0.8588224009436478	4	Model 0	2_261
5	0.8563391810678446	5	Model 0	2_261
6	0.8394272452845457	6	Model 0	2_261
7	0.8316990242330751	7	Model 0	2_261
8	0.8234951795791388	8	Model 0	2_261
9	0.8200709900369271	9	Model 0	2_261
0	1.0	0	Model 0	2_263
1	0.9137717576277147	1	Model 0	2_263
2	0.872002858419772	2	Model 0	2_263
3	0.8650214709673896	3	Model 0	2_263
4	0.8577684801865804	4	Model 0	2_263
5	0.8582025198965131	5	Model 0	2_263
6	0.8611288082997521	6	Model 0	2_263
7	0.849507215157625	7	Model 0	2_263
8	0.8423278192207119	8	Model 0	2_263
9	0.8549752344454211	9	Model 0	2_263
0	1.0	0	Model 0	2_264
1	0.8978458672574933	1	Model 0	2_264
2	0.8583272598892701	2	Model 0	2_264
3	0.8484300067764377	3	Model 0	2_264
4	0.8269162656760324	4	Model 0	2_264
5	0.8146722276452913	5	Model 0	2_264
6	0.7914181182550456	6	Model 0	2_264
7	0.8101858669175751	7	Model 0	2_264
8	0.8068250924011234	8	Model 0	2_264
9	0.8183239442659733	9	Model 0	2_264
0	0.9999999999999998	0	Model 0	2_270
1	0.8887477989983763	1	Model 0	2_270
2	0.8320328812861856	2	Model 0	2_270
3	0.8031202950393302	3	Model 0	2_270
4	0.8112848467293639	4	Model 0	2_270
5	0.8284219556265301	5	Model 0	2_270
6	0.8358732080512826	6	Model 0	2_270
7	0.820501061143774	7	Model 0	2_270
8	0.8062572870219704	8	Model 0	2_270
9	0.7948058462238792	9	Model 0	2_270
0	1.0	0	Model 0	2_280
1	0.8871604354790433	1	Model 0	2_280
2	0.852775468788293	2	Model 0	2_280
3	0.8338170062759136	3	Model 0	2_280
4	0.8332654278300609	4	Model 0	2_280
5	0.8238673618092166	5	Model 0	2_280
6	0.8281901557994232	6	Model 0	2_280
7	0.8372567917972206	7	Model 0	2_280
8	0.8175876605518476	8	Model 0	2_280
9	0.8196198851508164	9	Model 0	2_280
0	1.0	0	Model 0	2_282
1	0.932930212496081	1	Model 0	2_282
2	0.9104307590690075	2	Model 0	2_282
3	0.895422772483956	3	Model 0	2_282
4	0.8794613835319884	4	Model 0	2_282
5	0.8714208715313632	5	Model 0	2_282
6	0.8654286704445817	6	Model 0	2_282
7	0.8625901579897081	7	Model 0	2_282
8	0.8528887663334397	8	Model 0	2_282
9	0.8426017365593065	9	Model 0	2_282
0	1.0	0	Model 0	2_290
1	0.9569788621752814	1	Model 0	2_290
2	0.9237605470270878	2	Model 0	2_290
3	0.9049327905521781	3	Model 0	2_290
4	0.8895416092592221	4	Model 0	2_290
5	0.8749862589180994	5	Model 0	2_290
6	0.8629859395383848	6	Model 0	2_290
7	0.8506878502401237	7	Model 0	2_290
8	0.837479339496851	8	Model 0	2_290
9	0.8330481210629781	9	Model 0	2_290
0	1.0	0	Model 0	2_291
1	0.9611470269759772	1	Model 0	2_291
2	0.9393775755297998	2	Model 0	2_291
3	0.9274161385427194	3	Model 0	2_291
4	0.9182810864596401	4	Model 0	2_291
5	0.9086984747649883	5	Model 0	2_291
6	0.8987210422312769	6	Model 0	2_291
7	0.8978841951630434	7	Model 0	2_291
8	0.8949692677506779	8	Model 0	2_291
9	0.8857996445675934	9	Model 0	2_291
0	1.0	0	Model 0	2_300
1	0.8824339778581879	1	Model 0	2_300
2	0.8221695540805607	2	Model 0	2_300
3	0.7921540566057901	3	Model 0	2_300
4	0.7475788053405333	4	Model 0	2_300
5	0.7251524899884507	5	Model 0	2_300
6	0.7405778479851225	6	Model 0	2_300
7	0.7499656266928595	7	Model 0	2_300
8	0.7596611765022402	8	Model 0	2_300
9	0.7587545751077316	9	Model 0	2_300
0	1.0	0	Model 0	2_301
1	0.8051487847470461	1	Model 0	2_301
2	0.751433957302743	2	Model 0	2_301
3	0.6982605083022586	3	Model 0	2_301
4	0.7320834556609311	4	Model 0	2_301
5	0.7188536129686829	5	Model 0	2_301
6	0.6893243802647037	6	Model 0	2_301
7	0.6718972531920373	7	Model 0	2_301
8	0.6444670060781135	8	Model 0	2_301
9	0.6533873983716748	9	Model 0	2_301
0	1.0	0	Model 0	2_307
1	0.9499714456069079	1	Model 0	2_307
2	0.9193790834368938	2	Model 0	2_307
3	0.9178436773044305	3	Model 0	2_307
4	0.9159830900617236	4	Model 0	2_307
5	0.9150524492187087	5	Model 0	2_307
6	0.9081764132455459	6	Model 0	2_307
7	0.9034620367088539	7	Model 0	2_307
8	0.9026799732469223	8	Model 0	2_307
9	0.8975668783796771	9	Model 0	2_307
0	0.9999999999999998	0	Model 0	2_311
1	0.9424962057064863	1	Model 0	2_311
2	0.895316922388536	2	Model 0	2_311
3	0.8672219810634352	3	Model 0	2_311
4	0.8510142703038774	4	Model 0	2_311
5	0.8470431437151367	5	Model 0	2_311
6	0.8278132779244771	6	Model 0	2_311
7	0.8157150765162944	7	Model 0	2_311
