	Label	ROG	Name	Weight	Life Span	Model
9	True	3.2292376542928047	2_40	41.03666666666666	51	Model 0
16	True	2.588885874215647	2_40	63.34212079522425	94	Model 0
17	True	2.768108583464145	2_40	24.091932430415188	51	Model 0
0	True	1.960572497334551	2_53	36.673968253968255	45	Model 0
1	True	2.7489739860435276	2_53	30.58525641025641	123	Model 0
13	True	3.3998088209118036	2_53	30.56662393162393	87	Model 0
17	True	0.618406326115197	2_53	2.4397435897435895	10	Model 0
27	True	3.1704809886607914	2_53	24.803376068376068	30	Model 0
41	True	1.0058133424021993	2_53	7.356666666666668	55	Model 0
42	True	2.6522155056544148	2_53	36.080000000000005	56	Model 0
48	True	1.3089628749976296	2_53	11.219999999999999	16	Model 0
4	True	0.21836556657938452	2_54	1.2201070672963419	6	Model 0
48	True	0.13139939968913586	2_54	9.299047619047618	22	Model 0
50	True	0.113693883750125	2_54	6.476190476190476	24	Model 0
83	True	0.07602969897417199	2_54	16.82575313575313	162	Model 0
84	True	0.07206229659266451	2_54	20.07389365536424	162	Model 0
86	True	0.06662129061858676	2_54	16.010710433357495	158	Model 0
90	True	0.055736198692984885	2_54	11.267436615671915	157	Model 0
93	True	0.06475985766777956	2_54	22.071959706959706	156	Model 0
95	True	0.09414006194805824	2_54	12.673555921202976	139	Model 0
99	True	0.05451948693303616	2_54	22.31223221223221	148	Model 0
117	True	0.11056775078110805	2_54	4.8186704471998585	102	Model 0
124	True	0.051930170899365406	2_54	3.218802308802309	110	Model 0
1	True	2.19962519773507	2_57	10.936630036630037	12	Model 0
23	True	2.0425223186635715	2_57	19.71330003330003	30	Model 0
42	True	3.6304694029512503	2_57	23.321905261186064	124	Model 0
48	True	0.8134617454671602	2_57	76.32170959423317	139	Model 0
49	True	1.9423279940495244	2_57	42.74990814139422	99	Model 0
54	True	0.1078371279257695	2_57	2.2499999999999996	65	Model 0
55	True	0.2184915726289801	2_57	1.8333333333333321	114	Model 0
57	True	0.05636121730647854	2_57	1.6333333333333322	78	Model 0
0	True	1.8738976790633444	2_61	15.770946994182289	45	Model 0
1	True	0.6042433866810009	2_61	3.0	8	Model 0
8	True	1.78502999561747	2_61	16.80089635854342	54	Model 0
11	True	2.810922643283158	2_61	27.912222940458236	89	Model 0
13	True	4.4005372914362315	2_61	21.18809783486254	183	Model 0
14	True	1.5624754877782276	2_61	3.5048618048618043	179	Model 0
27	True	2.3181055265178223	2_61	16.255401069518715	34	Model 0
43	True	3.0342600558519597	2_61	45.50484422749128	84	Model 0
44	True	1.8644429884024143	2_61	11.65183261183261	24	Model 0
53	True	0.9875357667054737	2_61	7.003137761586036	54	Model 0
65	True	1.0435924757875128	2_61	2.4311777877295113	13	Model 0
74	True	0.5767360175925657	2_61	0.7486363636363638	4	Model 0
6	True	2.512450812474482	2_62	11.57904761904762	14	Model 0
19	True	14.793753155837035	2_62	101.56577514272473	112	Model 0
21	True	1.5941334990731275	2_62	1.0857142857142854	1	Model 0
34	True	2.2000875692299786	2_62	4.156078431372549	11	Model 0
38	True	2.228120569296176	2_62	1.1889867620371597	2	Model 0
44	True	2.2051483890379844	2_62	7.253333333333334	8	Model 0
45	True	6.686441860604514	2_62	39.52166848166848	44	Model 0
60	True	2.7430573745772433	2_62	9.0	9	Model 0
6	True	0.11955030264501751	2_66	2.1619047619047618	3	Model 0
8	True	0.09266632525923134	2_66	1.4	2	Model 0
14	True	0.2659195184063362	2_66	9.11111111111111	9	Model 0
19	True	0.06824436537172321	2_66	2.08	4	Model 0
25	True	0.14432255731309454	2_66	2.206666666666667	2	Model 0
30	True	0.3698918904533265	2_66	5.241428571428571	13	Model 0
71	True	0.15410579850935602	2_66	5.964761904761904	8	Model 0
79	True	0.130042785173813	2_66	2.5166666666666666	4	Model 0
85	True	0.07479565855696059	2_66	1.3039316239316245	3	Model 0
95	True	0.24914621395879627	2_66	8.7	10	Model 0
99	True	0.2081913698193656	2_66	8.525000000000002	12	Model 0
114	True	0.18426995337316637	2_66	6.5666666666666655	7	Model 0
120	True	0.5323337363889825	2_66	9.052380952380952	98	Model 0
121	True	0.8850121005551522	2_66	30.230476190476192	95	Model 0
128	True	0.5152063537518752	2_66	54.48333333333333	66	Model 0
12	True	2.1805057377694412	2_70	11.456060606060607	13	Model 0
13	True	1.5414302404631577	2_70	18.46428571428572	30	Model 0
49	True	4.162691861855396	2_70	15.064649698960043	40	Model 0
52	True	2.6173231421997274	2_70	11.689767628986697	29	Model 0
61	True	1.3600121539327836	2_70	8.096777438248026	20	Model 0
77	True	4.373948587054583	2_70	21.186148132912837	29	Model 0
78	True	2.6505962876376024	2_70	24.94624003447533	37	Model 0
86	True	2.420956962780203	2_70	32.231664686664686	48	Model 0
88	True	2.1415331687257515	2_70	26.01595436095436	80	Model 0
12	True	2.9963653544781867	2_82	45.489696163861595	49	Model 0
15	True	9.452299417943205	2_82	144.97475256769374	148	Model 0
17	True	0.6652818656951835	2_82	0.8022222222222225	2	Model 0
20	True	0.44648525361202906	2_82	1.4866666666666666	2	Model 0
22	True	0.8498360983612328	2_82	1.4506442577030811	3	Model 0
10	True	0.9451571004207269	2_86	12.675714285714285	16	Model 0
11	True	0.26215354553581804	2_86	1.2609523809523808	3	Model 0
24	True	0.31007393717240045	2_86	4.366666666666667	8	Model 0
27	True	1.4630938727135723	2_86	6.777777777777778	7	Model 0
54	True	1.6872140315414312	2_86	62.76190476190476	69	Model 0
81	True	2.793787297556424	2_86	44.28328664799253	79	Model 0
87	True	2.9499585074333123	2_86	28.111213818860875	52	Model 0
90	True	0.6666703933885546	2_86	2.4174603174603178	3	Model 0
0	True	0.43862439363318245	2_89	26.557455648926236	161	Model 0
1	True	0.301189512785784	2_89	10.891904761904762	179	Model 0
2	True	0.42540408801177254	2_89	13.400714285714285	167	Model 0
4	True	0.48010154936751814	2_89	22.223711484593835	182	Model 0
6	True	0.5250173096385091	2_89	26.872619047619047	177	Model 0
7	True	0.32664700675660063	2_89	23.34302808302808	159	Model 0
9	True	0.3802401247047534	2_89	32.29355921855922	151	Model 0
10	True	0.3363493135174157	2_89	11.534523809523808	153	Model 0
86	True	0.5412128155169086	2_89	6.9714377550921025	11	Model 0
5	True	3.389501782724195	2_107	15.394201680672268	38	Model 0
6	True	1.459671087955533	2_107	22.593298662122194	91	Model 0
9	True	2.7438607657334253	2_107	7.43042606789397	121	Model 0
16	True	1.7233954316701856	2_107	26.707629492579272	79	Model 0
17	True	1.2364129927531022	2_107	26.07174777203125	42	Model 0
30	True	0.5097046706509929	2_107	4.355	13	Model 0
49	True	0.9976079732536011	2_107	9.885238095238094	28	Model 0
77	True	0.3284417586914436	2_107	1.4133333333333329	31	Model 0
81	True	1.0381098915363733	2_107	55.75574229691877	67	Model 0
3	True	1.0009908938444272	2_109	4.015861352068249	4	Model 0
14	True	1.6118894884108486	2_109	52.72491596638656	192	Model 0
15	True	2.778492964606614	2_109	28.95918745955529	164	Model 0
16	True	2.409740526513755	2_109	83.23970453080729	156	Model 0
26	True	0.7767700594715035	2_109	2.2242499330734624	4	Model 0
27	True	0.9592912621600053	2_109	12.989206349206349	33	Model 0
2	True	0.5994110622644659	2_111	1.9566666666666666	2	Model 0
17	True	0.7616991161359109	2_111	1.2857142857142856	1	Model 0
19	True	3.7410773744078587	2_111	31.60984126984127	145	Model 0
25	True	3.046048108116814	2_111	17.351764705882353	21	Model 0
27	True	0.45842817159805593	2_111	1.4972622779519331	4	Model 0
35	True	2.250663900966456	2_111	28.84033613445378	113	Model 0
36	True	1.4243315834917263	2_111	10.292222222222222	25	Model 0
42	True	3.158028727828196	2_111	42.662398211708556	185	Model 0
43	True	2.4210038324594993	2_111	43.84299755799756	141	Model 0
0	True	0.3172165641786868	2_113	9.360292746469216	48	Model 0
2	True	0.48233200196980797	2_113	9.659934575228693	47	Model 0
3	True	0.19717246642588654	2_113	2.4478804528804523	47	Model 0
7	True	0.2524171116359409	2_113	5.880532212885154	41	Model 0
9	True	0.10981379317824272	2_113	1.8717460317460315	12	Model 0
17	True	0.7071310809793729	2_113	19.19764010500529	70	Model 0
29	True	0.7804078351846595	2_113	13.812825798850136	167	Model 0
57	True	1.3700836874436344	2_113	20.483246753246753	121	Model 0
58	True	0.9394414141827513	2_113	15.905327660844904	100	Model 0
61	True	0.7134974926315819	2_113	23.850441936709682	88	Model 0
105	True	0.8660691691454144	2_113	30.996535404182467	93	Model 0
110	True	0.1837182111574932	2_113	4.141344973697915	39	Model 0
33	True	0.2900305243554954	2_127	0.1699679388414995	2	Model 0
56	True	0.18466162695777077	2_127	6.609607843137254	192	Model 0
58	True	0.20525784092595117	2_127	10.816666666666666	194	Model 0
59	True	0.21806796452442825	2_127	7.805	179	Model 0
60	True	0.17562813970965468	2_127	32.78027077497666	195	Model 0
61	True	0.16609667118675348	2_127	43.8	194	Model 0
62	True	0.12385479485789251	2_127	11.978968253968254	174	Model 0
63	True	0.1661719960614151	2_127	17.02056022408963	190	Model 0
64	True	0.21318433811347964	2_127	18.83758924082453	191	Model 0
70	True	0.16283515285720437	2_127	17.7339010989011	158	Model 0
84	True	0.10833447055013137	2_127	4.271465201465203	145	Model 0
7	True	1.442012886709164	2_131	58.69197420453729	150	Model 0
8	True	0.4613650809501781	2_131	2.8380952380952387	4	Model 0
11	True	2.030348869278512	2_131	23.846862745098036	107	Model 0
13	True	1.6066880644174184	2_131	29.91337662337662	188	Model 0
18	True	1.1741161121379764	2_131	10.630402930402932	40	Model 0
26	True	0.873961680283172	2_131	14.575311355311356	18	Model 0
30	True	0.44782912557787474	2_131	2.011428571428571	2	Model 0
34	True	0.5638374923498995	2_131	3.4	3	Model 0
36	True	1.0692813846630793	2_131	15.752142857142857	141	Model 0
40	True	1.8684014065196988	2_131	25.458095238095236	34	Model 0
2	True	1.082225096596881	2_138	36.88914296814297	197	Model 0
6	True	1.495417367266547	2_138	18.18076368076368	26	Model 0
7	True	0.23243818852748438	2_138	2.242424242424242	3	Model 0
11	True	1.0389392615014377	2_138	120.30333333333333	145	Model 0
15	True	0.09613260616564952	2_138	3.5700000000000003	8	Model 0
21	True	0.9210620081815767	2_140	19.225276691736862	139	Model 0
24	True	0.8808961336960726	2_140	22.420051119289177	73	Model 0
26	True	1.0530535884460808	2_140	13.230476190476189	68	Model 0
31	True	1.425583287743346	2_140	17.607759103641452	138	Model 0
33	True	0.7443422407668615	2_140	17.957087912087914	135	Model 0
39	True	0.9693361850965119	2_140	12.214285714285712	107	Model 0
53	True	1.5312319733831807	2_140	21.30373482726424	31	Model 0
54	True	0.8501136354551246	2_140	35.4837851037851	129	Model 0
56	True	0.5644702405198537	2_140	21.678571428571427	139	Model 0
10	True	1.6101555002071324	2_145	45.69008388008388	66	Model 0
17	True	1.7019794408357076	2_145	32.286703296703294	117	Model 0
30	True	2.0031474960129607	2_145	19.484750641183002	112	Model 0
35	True	0.9489267467795817	2_145	10.552497306614956	96	Model 0
36	True	1.126538477677075	2_145	21.946226028873088	81	Model 0
42	True	1.537168050234953	2_145	20.19287129243893	120	Model 0
50	True	1.2715563744370162	2_145	26.539732195908663	106	Model 0
1	True	0.0879838991150586	2_150	1.3333333333333335	3	Model 0
2	True	3.4468161310716816	2_150	6.178376362610544	9	Model 0
9	True	2.5906473097451954	2_150	156.62542290009452	191	Model 0
10	True	3.4326317305657588	2_150	12.096098588614645	14	Model 0
13	True	1.4976740769580486	2_150	2.606570311980148	173	Model 0
14	True	0.17094781312030766	2_150	5.5095238095238095	168	Model 0
16	True	0.2978123352262132	2_150	3.4357142857142855	155	Model 0
20	True	0.06250234293891316	2_150	0.8333333333333333	26	Model 0
21	True	0.20028923892147815	2_150	1.8499999999999996	17	Model 0
25	True	0.14379035648771218	2_150	0.9333333333333336	12	Model 0
1	True	4.416182907627539	2_153	19.604285714285716	27	Model 0
7	True	1.2110095819025304	2_153	1.6219047619047617	10	Model 0
15	True	9.479221682125141	2_153	19.619542124542125	174	Model 0
20	True	2.9638367536965524	2_153	4.889029304029305	7	Model 0
23	True	4.971400523925318	2_153	30.347914242620128	104	Model 0
43	True	5.017361007030384	2_153	34.95377504848093	99	Model 0
48	True	5.704968644338868	2_153	15.156299648064353	115	Model 0
50	True	4.088649131071525	2_153	23.818972922502333	86	Model 0
53	True	3.601792978591656	2_153	31.30938734468146	134	Model 0
0	True	3.4200735320611204	2_157	41.3	47	Model 0
18	True	2.4892686996000646	2_157	39.513864109746464	74	Model 0
19	True	3.1831136270133076	2_157	52.4056850203687	66	Model 0
38	True	1.7920558019960906	2_157	9.751895685232084	23	Model 0
52	True	0.24161290839577854	2_157	2.4333333333333336	3	Model 0
65	True	3.5245177110678005	2_157	27.2972747513924	46	Model 0
0	True	8.801663543775753	2_159	39.30702313119174	141	Model 0
1	True	2.694701858232106	2_159	1.7555822121828382	3	Model 0
4	True	0.23092977555193409	2_159	1.0833333333333328	1	Model 0
11	True	1.5817170420180156	2_159	15.461904761904762	17	Model 0
15	True	0.5640321865426059	2_159	3.52	5	Model 0
20	True	2.776602860007246	2_159	103.93100840336135	166	Model 0
23	True	1.014733399031521	2_159	5.13904761904762	12	Model 0
26	True	1.3123676317057746	2_159	20.157563025210084	35	Model 0
0	True	1.3069107256353438	2_169	13.616330008222409	65	Model 0
2	True	1.6053869189470305	2_169	14.913657393657394	63	Model 0
19	True	0.6060934502936087	2_169	1.93	5	Model 0
32	True	1.3146316182589002	2_169	21.76532559262698	30	Model 0
68	True	0.64800111022374	2_169	18.600181779005304	127	Model 0
69	True	1.0049734878254422	2_169	6.966538461538462	99	Model 0
71	True	0.6441030388181833	2_169	36.027857142857144	133	Model 0
73	True	0.2722431829772707	2_169	2.748076923076923	113	Model 0
74	True	0.5912311911427873	2_169	13.595592903828198	123	Model 0
77	True	0.8852650496527724	2_169	14.602597239361943	118	Model 0
78	True	0.651673711319043	2_169	2.0690476190476184	115	Model 0
88	True	0.5285797502597468	2_169	1.211297852474323	21	Model 0
90	True	1.5407786789053408	2_169	15.012760824753956	133	Model 0
95	True	0.7149777680991235	2_169	4.692459893048129	105	Model 0
1	True	0.7185395564685088	2_172	4.353571428571429	5	Model 0
8	True	1.0716100861923876	2_172	6.10404761904762	159	Model 0
9	True	0.9268074794172003	2_172	8.559999999999999	18	Model 0
13	True	1.0855201316565264	2_172	30.77656059288919	161	Model 0
16	True	0.49764540385452816	2_172	1.288888888888889	2	Model 0
23	True	0.6575747911723222	2_172	13.076329578917813	136	Model 0
30	True	0.9223961795002205	2_172	27.732063492063496	130	Model 0
42	True	1.1825093677900202	2_172	13.62155488302547	141	Model 0
47	True	0.7664086622721182	2_172	16.357604813487164	118	Model 0
49	True	1.2647413085183308	2_172	14.533968221321164	151	Model 0
60	True	0.9521884882924163	2_172	19.91194677871149	129	Model 0
69	True	0.975808055461206	2_172	13.227777777777778	36	Model 0
3	True	2.259305573236126	2_187	15.188184836651171	32	Model 0
8	True	2.717487973278028	2_187	15.922084487520594	32	Model 0
18	True	2.717513384275237	2_187	11.515669036845509	29	Model 0
19	True	2.0583799375172807	2_187	7.734306543130072	72	Model 0
38	True	1.2893304307343483	2_187	36.27132478632478	81	Model 0
40	True	0.4584195309350641	2_187	2.9	4	Model 0
73	True	1.4771169657624919	2_187	40.05253178194354	85	Model 0
80	True	1.3342567488830086	2_187	7.555592903828199	14	Model 0
84	True	0.372564521352248	2_187	2.9598039215686276	7	Model 0
92	True	0.8851449181403933	2_187	23.259999999999998	35	Model 0
3	True	2.84446892898858	2_196	6.041666666666666	7	Model 0
25	True	1.5397598963765275	2_196	2.5202380952380956	3	Model 0
26	True	3.1835452898569687	2_196	103.97575702075702	183	Model 0
27	True	2.8129998289730143	2_196	5.494519836718675	8	Model 0
31	True	1.8487558525801773	2_196	3.308257941059102	5	Model 0
33	True	1.6803066292054782	2_196	30.19880952380953	100	Model 0
34	True	1.332173812038095	2_196	20.9247619047619	103	Model 0
44	True	0.6761546006711614	2_196	10.893351648351647	83	Model 0
0	True	0.3961865639695757	2_201	1.852222222222222	31	Model 0
1	True	2.6898983107855257	2_201	21.886104301345352	188	Model 0
2	True	2.1775867061109246	2_201	13.112574013468384	44	Model 0
4	True	1.7447135153527438	2_201	5.971717371421761	39	Model 0
7	True	1.4924200113953439	2_201	5.135111041053664	25	Model 0
10	True	4.6438875746823705	2_201	6.461192461641934	18	Model 0
19	True	0.7961853699180473	2_201	56.467148243912945	147	Model 0
22	True	0.7360066600089167	2_201	53.571227106227106	148	Model 0
44	True	0.24786903635066326	2_201	2.0354341736694677	21	Model 0
26	True	3.046957429211361	2_205	8.27403361344538	69	Model 0
29	True	2.7957275536119406	2_205	13.569859943977592	44	Model 0
35	True	2.838606653977544	2_205	12.478424908424907	45	Model 0
36	True	1.063138573577359	2_205	4.779999999999999	18	Model 0
38	True	1.5844035686096343	2_205	3.2814285714285716	10	Model 0
57	True	2.4599830400580855	2_205	5.3533333333333335	7	Model 0
59	True	2.7480897530220627	2_205	11.409110105580691	19	Model 0
61	True	2.416887141726625	2_205	29.93333333333333	51	Model 0
73	True	2.537884124226682	2_205	9.600000000000001	46	Model 0
74	True	1.8292294875168913	2_205	11.164692235868705	56	Model 0
75	True	2.8990188827121917	2_205	9.82952380952381	30	Model 0
80	True	2.789924612034343	2_205	32.059117287940815	44	Model 0
81	True	1.2566519009969936	2_205	1.6999999999999997	2	Model 0
99	True	1.7763848334914092	2_205	5.766666666666667	7	Model 0
1	True	1.6957272063024136	2_208	10.773052503052504	16	Model 0
2	True	1.6637222927892639	2_208	21.49285714285714	28	Model 0
3	True	0.4854318277379138	2_208	2.5	3	Model 0
9	True	2.509554370079802	2_208	19.09093442505207	43	Model 0
10	True	1.059533755957764	2_208	9.71904761904762	11	Model 0
12	True	2.1498319663845455	2_208	28.529292929292925	48	Model 0
20	True	0.948965572813485	2_208	4.537857142857144	9	Model 0
21	True	0.5902060424692395	2_208	2.985	4	Model 0
27	True	2.329765502812763	2_208	27.483492063492065	35	Model 0
38	True	1.6064664648947908	2_208	14.65	30	Model 0
41	True	2.5525115915411023	2_208	33.45301587301587	63	Model 0
10	True	0.7294498320309882	2_209	15.848484848484848	17	Model 0
14	True	2.013332024062725	2_209	6.042018942018942	11	Model 0
44	True	0.5222435768675526	2_209	2.4857142857142858	3	Model 0
54	True	3.4813525227525712	2_209	19.180266734569223	29	Model 0
55	True	0.4873256025923736	2_209	2.027142857142857	25	Model 0
57	True	0.34087195732658754	2_209	1.75	2	Model 0
61	True	2.585294924514346	2_209	3.6742323619042896	60	Model 0
64	True	2.14472342172471	2_209	10.703809523809522	22	Model 0
65	True	0.4227311289797971	2_209	0.4573739193995053	2	Model 0
71	True	1.4477709449906757	2_209	61.696969696969695	80	Model 0
75	True	0.7025861072239193	2_209	4.428571428571429	4	Model 0
87	True	3.7022852611577264	2_209	20.198117647058822	60	Model 0
93	True	2.1142435420018657	2_209	6.612820512820512	9	Model 0
104	True	0.4032892871491898	2_209	1.7971428571428572	8	Model 0
105	True	0.8959645729423564	2_209	4.774285714285714	7	Model 0
2	True	0.6637694527673405	2_212	4.8504201680672265	5	Model 0
7	True	3.1747480079214596	2_212	37.099235209235204	101	Model 0
8	True	3.1627350469047095	2_212	47.50170104721829	159	Model 0
10	True	1.3652512446469238	2_212	16.78095238095238	19	Model 0
19	True	1.5693059718925244	2_212	17.854372279304407	27	Model 0
27	True	1.0014902333006963	2_212	41.686624744636916	49	Model 0
38	True	1.421633455880111	2_212	18.22095238095238	20	Model 0
3	True	0.8516934579033274	2_213	3.13361344537815	4	Model 0
8	True	1.4202117823463734	2_213	12.26557387057387	16	Model 0
9	True	3.940431490721366	2_213	33.426780783319245	147	Model 0
10	True	1.5545762548079953	2_213	22.03016339869281	57	Model 0
13	True	3.7299447086427264	2_213	54.545392156862746	172	Model 0
22	True	2.1648288835932834	2_213	12.825471963933502	18	Model 0
25	True	0.3501340958679653	2_213	1.885714285714286	2	Model 0
31	True	2.1101239665210736	2_213	19.397027580262876	70	Model 0
32	True	1.5545942440696319	2_213	14.963333333333333	35	Model 0
33	True	1.387566630759804	2_213	10.936666666666666	13	Model 0
4	True	0.388580173621623	2_214	3.766666666666666	5	Model 0
7	True	1.7647590563664954	2_214	21.842964878258996	167	Model 0
11	True	1.4405767502493318	2_214	37.386716616716626	146	Model 0
15	True	0.36088561479606357	2_214	15.350000000000001	44	Model 0
17	True	1.5145727988605509	2_214	44.079000933706816	82	Model 0
30	True	0.1375445305415221	2_214	1.4833333333333332	2	Model 0
40	True	1.0288888235722333	2_214	50.778146232852116	83	Model 0
42	True	0.16454153371287192	2_214	5.013030303030303	18	Model 0
9	True	0.38112039321797564	2_216	0.905034192502653	3	Model 0
14	True	1.1051631909482835	2_216	7.795901967201336	13	Model 0
16	True	0.18097783387349808	2_216	2.5999999999999996	3	Model 0
28	True	0.8344872962935561	2_216	1.185678173712095	3	Model 0
32	True	0.9729199308519199	2_216	1.6932065239442287	3	Model 0
48	True	1.115166608107081	2_216	4.731636520386335	7	Model 0
56	True	0.5504690992179542	2_216	27.79287080685933	158	Model 0
60	True	0.41376889785551535	2_216	18.81571428571429	45	Model 0
65	True	0.3413748611000127	2_216	1.7228571428571429	37	Model 0
74	True	0.40756558796518044	2_216	32.14365079365079	136	Model 0
93	True	0.48798812990569873	2_216	33.147347195288376	111	Model 0
108	True	0.5943651101610927	2_216	22.07105616605616	148	Model 0
111	True	0.35760290371789405	2_216	6.164369747899159	71	Model 0
0	True	0.7319860547144835	2_217	11.735286615982455	62	Model 0
1	True	0.9247395686426306	2_217	11.00491341991342	55	Model 0
7	True	0.37267983437489094	2_217	3.2254515982102188	69	Model 0
14	True	0.327407910744608	2_217	2.298888888888889	57	Model 0
22	True	1.5376511085544713	2_217	8.431447963800906	22	Model 0
27	True	0.3924779954345161	2_217	2.3761904761904757	12	Model 0
29	True	0.2087640358819081	2_217	1.5586080586080582	8	Model 0
71	True	0.4383981270113353	2_217	5.055916983971282	66	Model 0
101	True	0.32613986163549474	2_217	1.4801587301587298	11	Model 0
126	True	1.4637880053522094	2_217	18.02960317460317	76	Model 0
168	True	0.554498062701374	2_217	15.77597112848837	90	Model 0
171	True	0.9251275171858491	2_217	21.04349516849517	102	Model 0
173	True	0.5840158919480964	2_217	10.709813285502937	84	Model 0
174	True	1.1875206225606578	2_217	13.020036713829821	77	Model 0
187	True	0.4811491303113466	2_217	8.998850047144165	93	Model 0
0	True	1.6385287065584637	2_224	11.206666666666667	11	Model 0
5	True	0.42373768043757376	2_224	2.52	3	Model 0
16	True	0.36606467151437766	2_224	3.75	3	Model 0
31	True	0.6305095193034632	2_224	4.301667598633116	6	Model 0
39	True	0.6806072878651372	2_224	5.626666666666667	8	Model 0
50	True	0.44212798027888256	2_224	4.093333333333333	5	Model 0
72	True	0.37758963958205155	2_224	2.0999999999999996	2	Model 0
84	True	1.4040247936520855	2_224	25.036658037927815	41	Model 0
87	True	2.4529552037457028	2_224	23.9999475687711	108	Model 0
95	True	2.353867751715511	2_224	38.74267040149393	103	Model 0
99	True	1.348913571887501	2_224	16.144043167724707	24	Model 0
101	True	2.7511891574815097	2_224	11.837239663710253	66	Model 0
124	True	0.440830704659484	2_224	1.6495238095238125	4	Model 0
