,Correlations,Quantity,Name,Centrality,Length
1,-0.14725401941781988,Curvature,Curve 11,linear,Length 100
2,0.3365991586651076,Density,Curve 11,linear,Length 100
0,0.11665728480982789,Torsion,Curve 12,max,Length 100
1,-0.1982473420563898,Curvature,Curve 12,max,Length 100
2,0.20657198868723856,Density,Curve 12,max,Length 100
0,0.05021451427410386,Torsion,Curve 12,linear,Length 100
1,-0.2791607980117216,Curvature,Curve 12,linear,Length 100
2,0.07373942939752436,Density,Curve 12,linear,Length 100
0,-0.025515070737589254,Torsion,Curve 13,max,Length 100
1,0.0005514566687565621,Curvature,Curve 13,max,Length 100
2,0.42866028703959047,Density,Curve 13,max,Length 100
0,-0.11043124444868259,Torsion,Curve 13,linear,Length 100
1,0.06600534931664957,Curvature,Curve 13,linear,Length 100
2,-0.1903137557783987,Density,Curve 13,linear,Length 100
0,0.0443131658583135,Torsion,Curve 14,max,Length 100
1,-0.14528799035681028,Curvature,Curve 14,max,Length 100
2,0.1068695413603984,Density,Curve 14,max,Length 100
0,-0.06428744024612155,Torsion,Curve 14,linear,Length 100
1,-0.06741436320356113,Curvature,Curve 14,linear,Length 100
2,0.08270821119450777,Density,Curve 14,linear,Length 100
0,0.019362010494559243,Torsion,Curve 15,max,Length 100
1,-0.27642193191392944,Curvature,Curve 15,max,Length 100
2,0.48007414772850004,Density,Curve 15,max,Length 100
0,0.03209032394878645,Torsion,Curve 15,linear,Length 100
1,-0.21111825962452574,Curvature,Curve 15,linear,Length 100
2,0.48116135059712933,Density,Curve 15,linear,Length 100
0,0.1978452384908569,Torsion,Curve 16,max,Length 100
1,-0.16583523287290514,Curvature,Curve 16,max,Length 100
2,0.15709452686294556,Density,Curve 16,max,Length 100
0,0.1618070427258548,Torsion,Curve 16,linear,Length 100
1,-0.06961017784263678,Curvature,Curve 16,linear,Length 100
2,0.14619824815671173,Density,Curve 16,linear,Length 100
0,0.08938527184328848,Torsion,Curve 17,max,Length 100
1,-0.08721132266478693,Curvature,Curve 17,max,Length 100
2,0.34815606629241636,Density,Curve 17,max,Length 100
0,0.138972246520453,Torsion,Curve 17,linear,Length 100
1,-0.026771462465230687,Curvature,Curve 17,linear,Length 100
2,0.5437172532253186,Density,Curve 17,linear,Length 100
0,0.18142912752802484,Torsion,Curve 18,max,Length 100
1,-0.24215812323749078,Curvature,Curve 18,max,Length 100
2,-0.06311457568696163,Density,Curve 18,max,Length 100
0,0.06337498848867609,Torsion,Curve 18,linear,Length 100
1,-0.09238491988160248,Curvature,Curve 18,linear,Length 100
2,-0.44647359203680037,Density,Curve 18,linear,Length 100
0,0.3017540500540407,Torsion,Curve 19,max,Length 100
1,-0.06981910235443838,Curvature,Curve 19,max,Length 100
2,0.2654676674439422,Density,Curve 19,max,Length 100
0,0.1611029818441432,Torsion,Curve 19,linear,Length 100
1,-0.04758905998475984,Curvature,Curve 19,linear,Length 100
2,0.14711368008817466,Density,Curve 19,linear,Length 100
0,0.17221549835376745,Torsion,Curve 20,max,Length 100
1,-0.33264462005699674,Curvature,Curve 20,max,Length 100
2,0.2691808495344908,Density,Curve 20,max,Length 100
0,0.15182581289881247,Torsion,Curve 20,linear,Length 100
1,-0.22210972955612956,Curvature,Curve 20,linear,Length 100
2,-0.06515359875205019,Density,Curve 20,linear,Length 100
0,-0.14132548453197527,Torsion,Curve 21,max,Length 100
1,-0.1919134380137842,Curvature,Curve 21,max,Length 100
2,0.4822459559757295,Density,Curve 21,max,Length 100
0,-0.03941877740774693,Torsion,Curve 21,linear,Length 100
1,-0.011910767310021646,Curvature,Curve 21,linear,Length 100
2,0.3690028100330063,Density,Curve 21,linear,Length 100
0,-0.13461968475092348,Torsion,Curve 22,max,Length 100
1,-0.03789944592274469,Curvature,Curve 22,max,Length 100
2,0.3691445734061817,Density,Curve 22,max,Length 100
0,-0.048258342017265955,Torsion,Curve 22,linear,Length 100
1,-0.0798341930429775,Curvature,Curve 22,linear,Length 100
2,-0.11846769251563033,Density,Curve 22,linear,Length 100
0,0.07597336334949735,Torsion,Curve 23,max,Length 100
1,-0.011061816865252037,Curvature,Curve 23,max,Length 100
2,-0.21808388524936614,Density,Curve 23,max,Length 100
0,0.11924353719660481,Torsion,Curve 23,linear,Length 100
1,-0.0857407049348633,Curvature,Curve 23,linear,Length 100
2,-0.32858483339258504,Density,Curve 23,linear,Length 100
0,0.10812449026891979,Torsion,Curve 24,max,Length 100
1,-0.13876490769753386,Curvature,Curve 24,max,Length 100
2,0.09413319861035084,Density,Curve 24,max,Length 100
0,-0.10526361274217216,Torsion,Curve 24,linear,Length 100
1,-0.0509484990240846,Curvature,Curve 24,linear,Length 100
2,-0.010517745846518795,Density,Curve 24,linear,Length 100
0,0.07767976290775616,Torsion,Curve 25,max,Length 100
1,-0.09327291797018283,Curvature,Curve 25,max,Length 100
2,0.13772913659681177,Density,Curve 25,max,Length 100
0,0.09144143536979703,Torsion,Curve 25,linear,Length 100
1,-0.04924279168419303,Curvature,Curve 25,linear,Length 100
2,0.06391400028258157,Density,Curve 25,linear,Length 100
0,-0.032407783291400656,Torsion,Curve 26,max,Length 100
1,-0.09836061340265037,Curvature,Curve 26,max,Length 100
2,0.18373906172692134,Density,Curve 26,max,Length 100
0,-0.05047921680988793,Torsion,Curve 26,linear,Length 100
1,-0.0492099918962684,Curvature,Curve 26,linear,Length 100
2,-0.21751099239874883,Density,Curve 26,linear,Length 100
0,-0.020367107238638035,Torsion,Curve 27,max,Length 100
1,0.04766679581500964,Curvature,Curve 27,max,Length 100
2,0.4652910508796004,Density,Curve 27,max,Length 100
0,-0.02278320830389351,Torsion,Curve 27,linear,Length 100
1,0.026224194261815575,Curvature,Curve 27,linear,Length 100
2,-0.0489279643508293,Density,Curve 27,linear,Length 100
0,0.046085503307410604,Torsion,Curve 28,max,Length 100
1,-0.1358378413557046,Curvature,Curve 28,max,Length 100
2,0.240948403038167,Density,Curve 28,max,Length 100
0,-0.004448119557097007,Torsion,Curve 28,linear,Length 100
1,0.0042865905950776355,Curvature,Curve 28,linear,Length 100
2,-0.1156980769365811,Density,Curve 28,linear,Length 100
0,0.2206624367878705,Torsion,Curve 29,max,Length 100
1,-0.16176139559996,Curvature,Curve 29,max,Length 100
2,0.13884817275623892,Density,Curve 29,max,Length 100
0,0.1644483317851707,Torsion,Curve 29,linear,Length 100
1,-0.10541104968554557,Curvature,Curve 29,linear,Length 100
2,0.12264143148333408,Density,Curve 29,linear,Length 100
0,0.07553156211509623,Torsion,Curve 30,max,Length 100
1,-0.34959005342081617,Curvature,Curve 30,max,Length 100
2,0.23880651963581154,Density,Curve 30,max,Length 100
0,0.06650462611881057,Torsion,Curve 30,linear,Length 100
1,-0.11902187004942949,Curvature,Curve 30,linear,Length 100
2,0.023920550917296217,Density,Curve 30,linear,Length 100
0,0.013909466230200023,Torsion,Curve 31,max,Length 100
1,-0.09173806589653558,Curvature,Curve 31,max,Length 100
2,0.241511521740911,Density,Curve 31,max,Length 100
0,-0.06895594258326765,Torsion,Curve 31,linear,Length 100
1,-0.06499125336164059,Curvature,Curve 31,linear,Length 100
2,-0.03114079434990004,Density,Curve 31,linear,Length 100
0,0.32835534794497395,Torsion,Curve 32,max,Length 100
1,-0.28738894774393076,Curvature,Curve 32,max,Length 100
2,0.08959205307803361,Density,Curve 32,max,Length 100
0,0.3882175737706244,Torsion,Curve 32,linear,Length 100
1,-0.1072966350554978,Curvature,Curve 32,linear,Length 100
2,-0.19177518854627118,Density,Curve 32,linear,Length 100
0,0.19301181565668718,Torsion,Curve 33,max,Length 100
1,-0.15014583311492902,Curvature,Curve 33,max,Length 100
2,0.20245823875488836,Density,Curve 33,max,Length 100
0,0.08097887867105023,Torsion,Curve 33,linear,Length 100
1,0.05577681844405142,Curvature,Curve 33,linear,Length 100
2,0.08623360612700318,Density,Curve 33,linear,Length 100
0,0.04894377125187814,Torsion,Curve 34,max,Length 100
1,-0.10409959301816447,Curvature,Curve 34,max,Length 100
2,0.5095859524570018,Density,Curve 34,max,Length 100
0,-0.02351177931763443,Torsion,Curve 34,linear,Length 100
1,0.04365706979751595,Curvature,Curve 34,linear,Length 100
2,0.12527616310632694,Density,Curve 34,linear,Length 100
0,0.19480248627388555,Torsion,Curve 35,max,Length 100
1,-0.18837081293962388,Curvature,Curve 35,max,Length 100
2,0.2835717777340464,Density,Curve 35,max,Length 100
0,0.2048606691772767,Torsion,Curve 35,linear,Length 100
1,-0.10779003213811404,Curvature,Curve 35,linear,Length 100
2,0.031983380549862286,Density,Curve 35,linear,Length 100
0,-0.006076041286869827,Torsion,Curve 36,max,Length 100
1,-0.14730260654275223,Curvature,Curve 36,max,Length 100
2,0.6346636911464248,Density,Curve 36,max,Length 100
0,-0.03127308342672486,Torsion,Curve 36,linear,Length 100
1,-0.03275225488189355,Curvature,Curve 36,linear,Length 100
2,0.4239232585030185,Density,Curve 36,linear,Length 100
0,0.01031703918157468,Torsion,Curve 37,max,Length 100
1,-0.09779162076930217,Curvature,Curve 37,max,Length 100
2,0.2683535407716531,Density,Curve 37,max,Length 100
0,0.04877162603190009,Torsion,Curve 37,linear,Length 100
1,-0.0637475827936047,Curvature,Curve 37,linear,Length 100
2,0.19411692978226022,Density,Curve 37,linear,Length 100
0,0.24325812748579204,Torsion,Curve 38,max,Length 100
1,-0.05892193137941363,Curvature,Curve 38,max,Length 100
2,0.2683798301840323,Density,Curve 38,max,Length 100
0,-0.0488842716179108,Torsion,Curve 38,linear,Length 100
1,0.06286123186488805,Curvature,Curve 38,linear,Length 100
2,0.4528802557359984,Density,Curve 38,linear,Length 100
0,0.12415669395839672,Torsion,Curve 39,max,Length 100
1,-0.23053294784439002,Curvature,Curve 39,max,Length 100
2,-0.06374542510977663,Density,Curve 39,max,Length 100
0,-0.006443943952626334,Torsion,Curve 39,linear,Length 100
1,-0.17247537896992896,Curvature,Curve 39,linear,Length 100
2,-0.1672365162360128,Density,Curve 39,linear,Length 100
0,0.010170807063261261,Torsion,Curve 40,max,Length 100
1,0.034280426162095125,Curvature,Curve 40,max,Length 100
2,0.20619112640755707,Density,Curve 40,max,Length 100
0,-0.051299383021429,Torsion,Curve 40,linear,Length 100
1,-0.0938173735761796,Curvature,Curve 40,linear,Length 100
2,-0.04304585486454059,Density,Curve 40,linear,Length 100
0,0.23956588135851029,Torsion,Curve 41,max,Length 100
1,-0.2330718796806015,Curvature,Curve 41,max,Length 100
2,0.32075320075079305,Density,Curve 41,max,Length 100
0,0.04922850391833457,Torsion,Curve 41,linear,Length 100
1,-0.14172075992315922,Curvature,Curve 41,linear,Length 100
2,0.04851851322682681,Density,Curve 41,linear,Length 100
0,-0.0357207025571283,Torsion,Curve 42,max,Length 100
1,-0.08733601436596192,Curvature,Curve 42,max,Length 100
2,0.2823274226847012,Density,Curve 42,max,Length 100
0,0.08615100952530233,Torsion,Curve 42,linear,Length 100
1,-0.10970901947713768,Curvature,Curve 42,linear,Length 100
2,-0.07838287155875286,Density,Curve 42,linear,Length 100
0,0.1284296383472912,Torsion,Curve 43,max,Length 100
1,0.16575745572284123,Curvature,Curve 43,max,Length 100
2,0.08984617086753949,Density,Curve 43,max,Length 100
0,0.048000896036564586,Torsion,Curve 43,linear,Length 100
1,0.27162421810065895,Curvature,Curve 43,linear,Length 100
2,0.0642402268919013,Density,Curve 43,linear,Length 100
0,0.00373170460902147,Torsion,Curve 44,max,Length 100
1,-0.17752483291977406,Curvature,Curve 44,max,Length 100
2,0.46663487144978655,Density,Curve 44,max,Length 100
0,0.06831446067688335,Torsion,Curve 44,linear,Length 100
1,-0.09927973926394859,Curvature,Curve 44,linear,Length 100
2,-0.06086321818753393,Density,Curve 44,linear,Length 100
0,-0.10953872707650353,Torsion,Curve 45,max,Length 100
1,-0.025415073313962415,Curvature,Curve 45,max,Length 100
2,0.01843895315933705,Density,Curve 45,max,Length 100
0,-0.031003903810728935,Torsion,Curve 45,linear,Length 100
1,-0.03470928147833572,Curvature,Curve 45,linear,Length 100
2,0.10416180502811218,Density,Curve 45,linear,Length 100
0,0.006346281981088115,Torsion,Curve 46,max,Length 100
1,-0.17927551142776293,Curvature,Curve 46,max,Length 100
2,0.25642445832906496,Density,Curve 46,max,Length 100
0,0.033713065691681685,Torsion,Curve 46,linear,Length 100
1,-0.09710867322311774,Curvature,Curve 46,linear,Length 100
2,-0.19865607868991259,Density,Curve 46,linear,Length 100
0,0.19345742885386058,Torsion,Curve 47,max,Length 100
1,-0.23299717537170261,Curvature,Curve 47,max,Length 100
2,0.4846167271820388,Density,Curve 47,max,Length 100
0,0.25827192401899696,Torsion,Curve 47,linear,Length 100
1,-0.2619776158174982,Curvature,Curve 47,linear,Length 100
2,0.1482105732196488,Density,Curve 47,linear,Length 100
0,0.03716717107819722,Torsion,Curve 48,max,Length 100
1,-0.01744197774799171,Curvature,Curve 48,max,Length 100
2,0.1824519788114268,Density,Curve 48,max,Length 100
0,0.0031723057120541668,Torsion,Curve 48,linear,Length 100
1,0.037611554825040056,Curvature,Curve 48,linear,Length 100
2,-0.4240400418602403,Density,Curve 48,linear,Length 100
0,0.13065109798657987,Torsion,Curve 49,max,Length 100
1,-0.061466912840225714,Curvature,Curve 49,max,Length 100
2,0.15771039451562507,Density,Curve 49,max,Length 100
0,0.10336419866899707,Torsion,Curve 49,linear,Length 100
1,-0.06906482520737976,Curvature,Curve 49,linear,Length 100
2,0.0037930255615593426,Density,Curve 49,linear,Length 100
0,-0.132577587193286,Torsion,Curve 50,max,Length 100
1,-0.13306689690929185,Curvature,Curve 50,max,Length 100
2,0.46439635961332176,Density,Curve 50,max,Length 100
0,-0.08508643677602003,Torsion,Curve 50,linear,Length 100
1,-0.03690547775441627,Curvature,Curve 50,linear,Length 100
2,0.3611725462620252,Density,Curve 50,linear,Length 100
0,0.24751213335994168,Torsion,Curve 51,max,Length 100
1,-0.06041641585391174,Curvature,Curve 51,max,Length 100
2,0.08057180651161072,Density,Curve 51,max,Length 100
0,0.07557436275481977,Torsion,Curve 51,linear,Length 100
1,-0.09345995112157353,Curvature,Curve 51,linear,Length 100
2,-0.22097837294086117,Density,Curve 51,linear,Length 100
0,0.13603615938194108,Torsion,Curve 52,max,Length 100
1,0.0680410372439945,Curvature,Curve 52,max,Length 100
2,0.028069554897712224,Density,Curve 52,max,Length 100
0,0.059883807151651494,Torsion,Curve 52,linear,Length 100
1,-0.07856174136907453,Curvature,Curve 52,linear,Length 100
2,0.33616283969756855,Density,Curve 52,linear,Length 100
0,-0.07506570193972904,Torsion,Curve 53,max,Length 100
1,-0.1755719023044695,Curvature,Curve 53,max,Length 100
2,0.43606748279420415,Density,Curve 53,max,Length 100
0,0.042607497317846424,Torsion,Curve 53,linear,Length 100
1,-0.050976891785752716,Curvature,Curve 53,linear,Length 100
2,0.03528518490452825,Density,Curve 53,linear,Length 100
0,0.23452360167982603,Torsion,Curve 54,max,Length 100
1,-0.23646758880459856,Curvature,Curve 54,max,Length 100
2,0.25120448729855505,Density,Curve 54,max,Length 100
0,0.28603109043999847,Torsion,Curve 54,linear,Length 100
1,-0.09116521379026199,Curvature,Curve 54,linear,Length 100
2,-0.008723142658538621,Density,Curve 54,linear,Length 100
0,0.2534420250604769,Torsion,Curve 55,max,Length 100
1,-0.04994249111591574,Curvature,Curve 55,max,Length 100
2,0.3042583221053322,Density,Curve 55,max,Length 100
0,0.07474294755944423,Torsion,Curve 55,linear,Length 100
1,-0.04958553939777011,Curvature,Curve 55,linear,Length 100
2,0.35121021304655353,Density,Curve 55,linear,Length 100
0,0.02923987898584757,Torsion,Curve 56,max,Length 100
1,-0.03205584096673563,Curvature,Curve 56,max,Length 100
2,0.20420147452685994,Density,Curve 56,max,Length 100
0,-0.07518246550072098,Torsion,Curve 56,linear,Length 100
1,-0.022797816992974774,Curvature,Curve 56,linear,Length 100
2,-0.14231537813446515,Density,Curve 56,linear,Length 100
0,0.22426262069671338,Torsion,Curve 57,max,Length 100
1,-0.19643456314907132,Curvature,Curve 57,max,Length 100
2,-0.13120646061162694,Density,Curve 57,max,Length 100
0,0.3154955598036308,Torsion,Curve 57,linear,Length 100
1,-0.11649716031858158,Curvature,Curve 57,linear,Length 100
2,-0.4677714682114841,Density,Curve 57,linear,Length 100
0,-0.1310716450682383,Torsion,Curve 58,max,Length 100
1,-0.24896868621821786,Curvature,Curve 58,max,Length 100
2,0.29032776210913924,Density,Curve 58,max,Length 100
0,-0.06019077469620207,Torsion,Curve 58,linear,Length 100
1,-0.09843113293598725,Curvature,Curve 58,linear,Length 100
2,-0.06796350833972101,Density,Curve 58,linear,Length 100
0,0.07343385399730781,Torsion,Curve 59,max,Length 100
1,-0.02995916717989838,Curvature,Curve 59,max,Length 100
2,0.22611547850568617,Density,Curve 59,max,Length 100
0,0.10056173327498034,Torsion,Curve 59,linear,Length 100
1,-0.08041339768424673,Curvature,Curve 59,linear,Length 100
2,0.1388458138814683,Density,Curve 59,linear,Length 100
0,-0.07824817546850325,Torsion,Curve 60,max,Length 100
1,-0.12346692197431607,Curvature,Curve 60,max,Length 100
2,0.25619522428346286,Density,Curve 60,max,Length 100
0,0.007871038720754888,Torsion,Curve 60,linear,Length 100
1,-0.013151906319766626,Curvature,Curve 60,linear,Length 100
2,-0.2716209902117353,Density,Curve 60,linear,Length 100
0,0.0902236979299498,Torsion,Curve 61,max,Length 100
1,-0.19888819484818512,Curvature,Curve 61,max,Length 100
2,0.4255360505010781,Density,Curve 61,max,Length 100
0,0.08318710624339315,Torsion,Curve 61,linear,Length 100
1,-0.08435080390059024,Curvature,Curve 61,linear,Length 100
2,0.5087924055930989,Density,Curve 61,linear,Length 100
0,-0.032161449507185164,Torsion,Curve 62,max,Length 100
1,-0.19993942762980352,Curvature,Curve 62,max,Length 100
2,0.3330959513199747,Density,Curve 62,max,Length 100
0,0.10652462417180941,Torsion,Curve 62,linear,Length 100
1,-0.11896059953820862,Curvature,Curve 62,linear,Length 100
2,-0.17288530548881126,Density,Curve 62,linear,Length 100
0,-0.05365979003948147,Torsion,Curve 63,max,Length 100
1,-0.024261296919493306,Curvature,Curve 63,max,Length 100
2,0.273979048643009,Density,Curve 63,max,Length 100
0,-0.026713541536510028,Torsion,Curve 63,linear,Length 100
1,-0.0410459095028464,Curvature,Curve 63,linear,Length 100
2,0.19851479914779885,Density,Curve 63,linear,Length 100
0,0.10721178057269423,Torsion,Curve 64,max,Length 100
1,-0.14610054519128565,Curvature,Curve 64,max,Length 100
2,0.232812258565748,Density,Curve 64,max,Length 100
0,0.046661080112036436,Torsion,Curve 64,linear,Length 100
1,-0.094244886679841,Curvature,Curve 64,linear,Length 100
2,0.0870629973043568,Density,Curve 64,linear,Length 100
0,-0.10184729045264228,Torsion,Curve 65,max,Length 100
1,-0.3071433487847474,Curvature,Curve 65,max,Length 100
2,0.6042846465755979,Density,Curve 65,max,Length 100
0,0.057364598540794634,Torsion,Curve 65,linear,Length 100
1,-0.18298025735182158,Curvature,Curve 65,linear,Length 100
2,0.44743880217102827,Density,Curve 65,linear,Length 100
0,-0.17948228137282465,Torsion,Curve 66,max,Length 100
1,-0.15520586540773362,Curvature,Curve 66,max,Length 100
2,0.1630902242222743,Density,Curve 66,max,Length 100
0,-0.008452532030717675,Torsion,Curve 66,linear,Length 100
1,-0.06210867404761805,Curvature,Curve 66,linear,Length 100
2,-0.10884904637490755,Density,Curve 66,linear,Length 100
0,0.041086478926437194,Torsion,Curve 67,max,Length 100
1,0.09633838143468519,Curvature,Curve 67,max,Length 100
2,0.49513343755657724,Density,Curve 67,max,Length 100
0,-0.09867586179825655,Torsion,Curve 67,linear,Length 100
1,0.09774817605275855,Curvature,Curve 67,linear,Length 100
2,0.3769928316283673,Density,Curve 67,linear,Length 100
0,0.17086066138974287,Torsion,Curve 68,max,Length 100
1,-0.12597845497711216,Curvature,Curve 68,max,Length 100
2,0.009667755947012758,Density,Curve 68,max,Length 100
0,0.06104415246801898,Torsion,Curve 68,linear,Length 100
1,0.0356508758890964,Curvature,Curve 68,linear,Length 100
2,-0.19244881801331215,Density,Curve 68,linear,Length 100
0,0.20463615043014657,Torsion,Curve 69,max,Length 100
1,-0.07387788715379714,Curvature,Curve 69,max,Length 100
2,0.5177078790330022,Density,Curve 69,max,Length 100
0,0.009043160810453093,Torsion,Curve 69,linear,Length 100
1,-0.06763643252783835,Curvature,Curve 69,linear,Length 100
2,0.2550980878358916,Density,Curve 69,linear,Length 100
0,0.019180156597788246,Torsion,Curve 70,max,Length 100
1,0.0033403484958802934,Curvature,Curve 70,max,Length 100
2,0.566851642978962,Density,Curve 70,max,Length 100
0,0.10196632234819289,Torsion,Curve 70,linear,Length 100
1,-0.11550883539202506,Curvature,Curve 70,linear,Length 100
2,0.13742646217659335,Density,Curve 70,linear,Length 100
0,0.060124790337606246,Torsion,Curve 71,max,Length 100
1,-0.08781265312092658,Curvature,Curve 71,max,Length 100
2,0.06626674202609217,Density,Curve 71,max,Length 100
0,-0.006472870728885622,Torsion,Curve 71,linear,Length 100
1,-0.035257745152253536,Curvature,Curve 71,linear,Length 100
2,-0.18601400584868333,Density,Curve 71,linear,Length 100
0,0.21446651766117034,Torsion,Curve 72,max,Length 100
1,-0.06422170787335747,Curvature,Curve 72,max,Length 100
2,0.11109499137697224,Density,Curve 72,max,Length 100
0,0.07316717646659077,Torsion,Curve 72,linear,Length 100
1,0.006398768257805433,Curvature,Curve 72,linear,Length 100
2,-0.2543101881173109,Density,Curve 72,linear,Length 100
0,0.1315680188121448,Torsion,Curve 73,max,Length 100
1,-0.15618567356202642,Curvature,Curve 73,max,Length 100
2,0.5012173280232485,Density,Curve 73,max,Length 100
0,0.023365539205143497,Torsion,Curve 73,linear,Length 100
1,-0.03439173914676288,Curvature,Curve 73,linear,Length 100
2,0.06780055278941974,Density,Curve 73,linear,Length 100
0,-0.14618427246271903,Torsion,Curve 74,max,Length 100
1,-0.25911818757623717,Curvature,Curve 74,max,Length 100
2,0.6186361272222962,Density,Curve 74,max,Length 100
0,0.005173040965343699,Torsion,Curve 74,linear,Length 100
1,-0.13892498198396305,Curvature,Curve 74,linear,Length 100
2,0.49100876836497137,Density,Curve 74,linear,Length 100
0,-0.14833220791531845,Torsion,Curve 75,max,Length 100
1,0.09313129733999125,Curvature,Curve 75,max,Length 100
2,0.14191247711369492,Density,Curve 75,max,Length 100
0,-0.071191424882934,Torsion,Curve 75,linear,Length 100
1,-0.032101978444860284,Curvature,Curve 75,linear,Length 100
2,-0.14195231365665378,Density,Curve 75,linear,Length 100
0,0.21941410346705872,Torsion,Curve 76,max,Length 100
1,-0.2760169954095555,Curvature,Curve 76,max,Length 100
2,0.2772576931084653,Density,Curve 76,max,Length 100
0,0.16612666081014782,Torsion,Curve 76,linear,Length 100
1,-0.08024510449791199,Curvature,Curve 76,linear,Length 100
2,0.004726570164933334,Density,Curve 76,linear,Length 100
0,-0.09631335834987716,Torsion,Curve 77,max,Length 100
1,-0.03976069980990651,Curvature,Curve 77,max,Length 100
2,0.33036111140788227,Density,Curve 77,max,Length 100
0,-0.0279183251494197,Torsion,Curve 77,linear,Length 100
1,-0.08833025531451981,Curvature,Curve 77,linear,Length 100
2,0.45073933150347967,Density,Curve 77,linear,Length 100
0,-0.01677974659070745,Torsion,Curve 78,max,Length 100
1,-0.1871062471255283,Curvature,Curve 78,max,Length 100
2,0.6364855533118855,Density,Curve 78,max,Length 100
0,0.20805040100244912,Torsion,Curve 78,linear,Length 100
1,-0.08431209393212244,Curvature,Curve 78,linear,Length 100
2,0.5613545462651551,Density,Curve 78,linear,Length 100
0,0.1634021677857311,Torsion,Curve 79,max,Length 100
1,-0.07856042268291787,Curvature,Curve 79,max,Length 100
