,Correlations,Quantity,Name,Length
222,0.1141740378794531,Torsion,Curve 37,Length 100
223,-0.2559989780875923,Curvature,Curve 37,Length 100
224,0.4723714038970264,Density,Curve 37,Length 100
228,0.189851463622094,Torsion,Curve 38,Length 100
229,-0.0433286297718976,Curvature,Curve 38,Length 100
230,0.3185358622129292,Density,Curve 38,Length 100
234,0.259708112843008,Torsion,Curve 39,Length 100
235,-0.2463383451724441,Curvature,Curve 39,Length 100
236,0.2598534924519089,Density,Curve 39,Length 100
240,0.0991038456205205,Torsion,Curve 40,Length 100
241,0.0266097222276957,Curvature,Curve 40,Length 100
242,0.3922388378483885,Density,Curve 40,Length 100
246,0.2303606331139774,Torsion,Curve 41,Length 100
247,-0.2279186820343104,Curvature,Curve 41,Length 100
248,0.3121261196057332,Density,Curve 41,Length 100
252,-0.045600401145865,Torsion,Curve 42,Length 100
253,-0.1006835828722731,Curvature,Curve 42,Length 100
254,0.508377318531693,Density,Curve 42,Length 100
258,0.0716377537671758,Torsion,Curve 43,Length 100
259,-0.1251796587832364,Curvature,Curve 43,Length 100
260,0.2914341680292076,Density,Curve 43,Length 100
264,0.0601224234198657,Torsion,Curve 44,Length 100
265,0.0358760824480841,Curvature,Curve 44,Length 100
266,0.4130643034693174,Density,Curve 44,Length 100
270,-0.0956056340686911,Torsion,Curve 45,Length 100
271,-0.1371067642121059,Curvature,Curve 45,Length 100
272,0.2399320688627005,Density,Curve 45,Length 100
276,0.1472908805216292,Torsion,Curve 46,Length 100
277,-0.1750075362008065,Curvature,Curve 46,Length 100
278,0.3298195581807006,Density,Curve 46,Length 100
282,0.173117505254397,Torsion,Curve 47,Length 100
283,-0.1473928251064718,Curvature,Curve 47,Length 100
284,0.371189294234742,Density,Curve 47,Length 100
288,0.093655235424851,Torsion,Curve 48,Length 100
289,-0.1230939119700624,Curvature,Curve 48,Length 100
290,0.2976255951991722,Density,Curve 48,Length 100
294,0.1124821194477795,Torsion,Curve 49,Length 100
295,-0.2429417046999864,Curvature,Curve 49,Length 100
296,0.3885193657017828,Density,Curve 49,Length 100
300,-0.1818541834079574,Torsion,Curve 50,Length 100
301,-0.2010184719708235,Curvature,Curve 50,Length 100
302,0.4485926315711438,Density,Curve 50,Length 100
306,0.2257280679830029,Torsion,Curve 51,Length 100
307,-0.1051739403855811,Curvature,Curve 51,Length 100
308,0.2382545181106842,Density,Curve 51,Length 100
312,0.1836890529371485,Torsion,Curve 52,Length 100
313,0.0224274696508352,Curvature,Curve 52,Length 100
314,0.0408543440603212,Density,Curve 52,Length 100
318,-0.0026045076957362,Torsion,Curve 53,Length 100
319,-0.2029893199972747,Curvature,Curve 53,Length 100
320,0.4219835123021772,Density,Curve 53,Length 100
324,0.1454847147844551,Torsion,Curve 54,Length 100
325,-0.2469695054675175,Curvature,Curve 54,Length 100
326,0.2408478689335304,Density,Curve 54,Length 100
330,0.2391366954098078,Torsion,Curve 55,Length 100
331,-0.1323349215732667,Curvature,Curve 55,Length 100
332,0.318941847518762,Density,Curve 55,Length 100
336,0.083882787531884,Torsion,Curve 56,Length 100
337,-0.0687316794441733,Curvature,Curve 56,Length 100
338,0.3741517324960208,Density,Curve 56,Length 100
342,0.2412897230727816,Torsion,Curve 57,Length 100
343,-0.28530845041315,Curvature,Curve 57,Length 100
344,0.1194837720513896,Density,Curve 57,Length 100
348,-0.0250256228610925,Torsion,Curve 58,Length 100
349,-0.2790310077622911,Curvature,Curve 58,Length 100
350,0.4170644168024449,Density,Curve 58,Length 100
354,0.0667855612350534,Torsion,Curve 59,Length 100
355,-0.0056571523639525,Curvature,Curve 59,Length 100
356,0.2332584843461867,Density,Curve 59,Length 100
360,0.0006275357769072,Torsion,Curve 60,Length 100
361,-0.1529557348053141,Curvature,Curve 60,Length 100
362,0.2687564490471006,Density,Curve 60,Length 100
366,0.0979687160099766,Torsion,Curve 61,Length 100
367,-0.2500650434378077,Curvature,Curve 61,Length 100
368,0.5525263623843221,Density,Curve 61,Length 100
372,-0.0304310559915835,Torsion,Curve 62,Length 100
373,-0.2433822945743985,Curvature,Curve 62,Length 100
374,0.4034079101650237,Density,Curve 62,Length 100
378,-0.016704119472875,Torsion,Curve 63,Length 100
379,-0.036988216510201,Curvature,Curve 63,Length 100
380,0.316595783656778,Density,Curve 63,Length 100
384,0.0873336221542047,Torsion,Curve 64,Length 100
385,-0.1653508781414869,Curvature,Curve 64,Length 100
386,0.3648450273090269,Density,Curve 64,Length 100
390,-0.0606162169908472,Torsion,Curve 65,Length 100
391,-0.2780282900865093,Curvature,Curve 65,Length 100
392,0.549395518894322,Density,Curve 65,Length 100
396,-0.1525120925924173,Torsion,Curve 66,Length 100
397,-0.1498553582592143,Curvature,Curve 66,Length 100
398,0.1435503377692444,Density,Curve 66,Length 100
402,0.155894028391609,Torsion,Curve 67,Length 100
403,0.0433587085174038,Curvature,Curve 67,Length 100
404,0.3138743989333472,Density,Curve 67,Length 100
408,0.2840855944324336,Torsion,Curve 68,Length 100
409,-0.3112124788769717,Curvature,Curve 68,Length 100
410,0.21816386485112,Density,Curve 68,Length 100
414,0.2638206718501294,Torsion,Curve 69,Length 100
415,-0.107004132722849,Curvature,Curve 69,Length 100
416,0.5739053280660292,Density,Curve 69,Length 100
420,0.0841314253619909,Torsion,Curve 70,Length 100
421,-0.0303523665532924,Curvature,Curve 70,Length 100
422,0.5246559240848448,Density,Curve 70,Length 100
426,0.1551486846110384,Torsion,Curve 71,Length 100
427,-0.0728725878694741,Curvature,Curve 71,Length 100
428,0.194218673326153,Density,Curve 71,Length 100
432,0.2135017694737317,Torsion,Curve 72,Length 100
433,-0.1712132342895662,Curvature,Curve 72,Length 100
434,0.3278656421031464,Density,Curve 72,Length 100
438,0.1136561571009148,Torsion,Curve 73,Length 100
439,-0.0527510989725595,Curvature,Curve 73,Length 100
440,0.5479738146230736,Density,Curve 73,Length 100
444,-0.048921743003759,Torsion,Curve 74,Length 100
445,-0.2587174079673379,Curvature,Curve 74,Length 100
446,0.6201740003593678,Density,Curve 74,Length 100
450,-0.1078732702173844,Torsion,Curve 75,Length 100
451,0.0826550997866551,Curvature,Curve 75,Length 100
452,0.2529290154818057,Density,Curve 75,Length 100
456,0.3065032867746456,Torsion,Curve 76,Length 100
457,-0.2174973529448853,Curvature,Curve 76,Length 100
458,0.2709907712708673,Density,Curve 76,Length 100
462,-0.0025717136496166,Torsion,Curve 77,Length 100
463,-0.0503340786045008,Curvature,Curve 77,Length 100
464,0.4061915304186043,Density,Curve 77,Length 100
468,0.0156287739443144,Torsion,Curve 78,Length 100
469,-0.1725140628812068,Curvature,Curve 78,Length 100
470,0.6489088615012323,Density,Curve 78,Length 100
474,0.1740709401419554,Torsion,Curve 79,Length 100
475,-0.2145356659429021,Curvature,Curve 79,Length 100
476,0.557612359078666,Density,Curve 79,Length 100
480,-0.1247531166602813,Torsion,Curve 80,Length 100
481,-0.1614793477460784,Curvature,Curve 80,Length 100
482,0.1946144485555264,Density,Curve 80,Length 100
486,0.0251133325305075,Torsion,Curve 81,Length 100
487,-0.0948193356746187,Curvature,Curve 81,Length 100
488,0.5726114514856315,Density,Curve 81,Length 100
492,0.0855661356290314,Torsion,Curve 82,Length 100
493,-0.169052565791795,Curvature,Curve 82,Length 100
494,0.6457077736929263,Density,Curve 82,Length 100
498,0.1239645146374452,Torsion,Curve 83,Length 100
499,-0.2195224607581531,Curvature,Curve 83,Length 100
500,0.5062693416899449,Density,Curve 83,Length 100
504,0.0848977626665816,Torsion,Curve 84,Length 100
505,-0.0811696895673812,Curvature,Curve 84,Length 100
506,0.1905468112922315,Density,Curve 84,Length 100
510,0.0959395504025723,Torsion,Curve 85,Length 100
511,-0.1406153126563762,Curvature,Curve 85,Length 100
512,0.411573520951867,Density,Curve 85,Length 100
516,-0.1240311358796688,Torsion,Curve 86,Length 100
517,-0.0521503014044793,Curvature,Curve 86,Length 100
518,0.2520182950692084,Density,Curve 86,Length 100
522,-0.0931112802485634,Torsion,Curve 87,Length 100
523,-0.0371793475592683,Curvature,Curve 87,Length 100
524,0.6029546928136211,Density,Curve 87,Length 100
528,0.1436852337046809,Torsion,Curve 88,Length 100
529,0.0007833442998651,Curvature,Curve 88,Length 100
530,0.1994601030257249,Density,Curve 88,Length 100
534,0.1976975485958069,Torsion,Curve 89,Length 100
535,-0.3061543432581982,Curvature,Curve 89,Length 100
536,0.328723497085692,Density,Curve 89,Length 100
540,0.0003254146548393,Torsion,Curve 90,Length 100
541,-0.1585332489658919,Curvature,Curve 90,Length 100
542,0.539805811614046,Density,Curve 90,Length 100
546,0.1745180578271754,Torsion,Curve 91,Length 100
547,-0.0893634298127963,Curvature,Curve 91,Length 100
548,0.3039956510176249,Density,Curve 91,Length 100
552,0.3135163559573919,Torsion,Curve 92,Length 100
553,-0.1057031814461501,Curvature,Curve 92,Length 100
554,0.025020337613874,Density,Curve 92,Length 100
558,0.1104104910960075,Torsion,Curve 93,Length 100
559,-0.1498399483646491,Curvature,Curve 93,Length 100
560,0.6300332267186912,Density,Curve 93,Length 100
564,-0.0049680587021718,Torsion,Curve 94,Length 100
565,-0.101078800541402,Curvature,Curve 94,Length 100
566,0.5052944413576392,Density,Curve 94,Length 100
570,0.2241248892434417,Torsion,Curve 95,Length 100
571,-0.1128368913289129,Curvature,Curve 95,Length 100
572,0.3924623092711031,Density,Curve 95,Length 100
576,0.3102606420497793,Torsion,Curve 96,Length 100
577,-0.2096547798864921,Curvature,Curve 96,Length 100
578,0.0416620692865534,Density,Curve 96,Length 100
582,0.0485034158383375,Torsion,Curve 97,Length 100
583,-0.1181673404833516,Curvature,Curve 97,Length 100
584,0.4347213562444678,Density,Curve 97,Length 100
588,0.0915758665698539,Torsion,Curve 98,Length 100
589,-0.1755187565974093,Curvature,Curve 98,Length 100
590,0.50624717855071,Density,Curve 98,Length 100
594,0.1100820211090104,Torsion,Curve 99,Length 100
595,-0.0859812666609852,Curvature,Curve 99,Length 100
596,0.4985111765494209,Density,Curve 99,Length 100
600,0.1012784560384911,Torsion,Curve 100,Length 100
601,-0.1736733082203698,Curvature,Curve 100,Length 100
602,0.5160075437983436,Density,Curve 100,Length 100
606,0.1565371598422724,Torsion,Curve 101,Length 100
607,0.0224502010958449,Curvature,Curve 101,Length 100
608,0.4824224929984437,Density,Curve 101,Length 100
612,0.0625789040475013,Torsion,Curve 102,Length 100
613,-0.115320572015623,Curvature,Curve 102,Length 100
614,0.4855316663506418,Density,Curve 102,Length 100
618,0.1884072584848635,Torsion,Curve 103,Length 100
619,-0.3063862435274143,Curvature,Curve 103,Length 100
620,0.2356254119445421,Density,Curve 103,Length 100
624,0.206010581758246,Torsion,Curve 104,Length 100
625,-0.1474169268813763,Curvature,Curve 104,Length 100
626,0.15866569208626,Density,Curve 104,Length 100
630,0.2890152924624938,Torsion,Curve 105,Length 100
631,-0.2729138081651968,Curvature,Curve 105,Length 100
632,0.029454925372074,Density,Curve 105,Length 100
636,0.0074676010853014,Torsion,Curve 106,Length 100
637,-0.1328724267459364,Curvature,Curve 106,Length 100
638,0.1429820559787417,Density,Curve 106,Length 100
642,0.0024628792266585,Torsion,Curve 107,Length 100
643,-0.1347413684686067,Curvature,Curve 107,Length 100
644,0.5062466990644693,Density,Curve 107,Length 100
648,0.181371501006088,Torsion,Curve 108,Length 100
649,-0.2454015164499004,Curvature,Curve 108,Length 100
650,0.0802978032376973,Density,Curve 108,Length 100
654,0.0302640892247791,Torsion,Curve 109,Length 100
655,-0.1855016862542542,Curvature,Curve 109,Length 100
656,0.4453748125839457,Density,Curve 109,Length 100
660,-0.0361166139402475,Torsion,Curve 110,Length 100
661,-0.1063091478174542,Curvature,Curve 110,Length 100
662,0.5357751053483866,Density,Curve 110,Length 100
666,0.25694749810149,Torsion,Curve 111,Length 100
667,-0.083149932160834,Curvature,Curve 111,Length 100
668,0.1747047309741815,Density,Curve 111,Length 100
672,0.1563179898184783,Torsion,Curve 112,Length 100
673,-0.0485178047421679,Curvature,Curve 112,Length 100
674,0.5587950356164597,Density,Curve 112,Length 100
678,-0.1167643583474705,Torsion,Curve 113,Length 100
679,-0.0021931606375368,Curvature,Curve 113,Length 100
680,0.535542404709475,Density,Curve 113,Length 100
684,0.0096057317482366,Torsion,Curve 114,Length 100
685,-0.148853906478196,Curvature,Curve 114,Length 100
686,0.3518857343768254,Density,Curve 114,Length 100
690,0.1502695087247515,Torsion,Curve 115,Length 100
691,-0.0383191602096629,Curvature,Curve 115,Length 100
692,0.2322578835371966,Density,Curve 115,Length 100
696,0.2362557869106652,Torsion,Curve 116,Length 100
697,-0.2604841641829306,Curvature,Curve 116,Length 100
698,0.376485112241246,Density,Curve 116,Length 100
702,0.2799891641370441,Torsion,Curve 117,Length 100
703,-0.275002942786081,Curvature,Curve 117,Length 100
704,0.3618270195708067,Density,Curve 117,Length 100
708,0.2110852871211343,Torsion,Curve 118,Length 100
709,0.025004791773643,Curvature,Curve 118,Length 100
710,0.4218160396368466,Density,Curve 118,Length 100
714,-0.0509065122228293,Torsion,Curve 119,Length 100
715,-0.1697217467206516,Curvature,Curve 119,Length 100
716,0.5971473648456421,Density,Curve 119,Length 100
720,0.1183240434126021,Torsion,Curve 120,Length 100
721,-0.0379128812960759,Curvature,Curve 120,Length 100
722,0.2856715138319359,Density,Curve 120,Length 100
726,0.1517778488806465,Torsion,Curve 121,Length 100
727,-0.1861590355306907,Curvature,Curve 121,Length 100
728,0.3628551075122447,Density,Curve 121,Length 100
732,0.02763408201854,Torsion,Curve 122,Length 100
733,-0.0570517181009167,Curvature,Curve 122,Length 100
734,0.28269816079342,Density,Curve 122,Length 100
738,0.0827334259013864,Torsion,Curve 123,Length 100
739,-0.092277405719785,Curvature,Curve 123,Length 100
740,0.3276778399789675,Density,Curve 123,Length 100
744,-0.0698428232078142,Torsion,Curve 124,Length 100
745,-0.0368716826420755,Curvature,Curve 124,Length 100
746,0.4885293197737447,Density,Curve 124,Length 100
750,0.2850641147490737,Torsion,Curve 125,Length 100
751,-0.2024706529407242,Curvature,Curve 125,Length 100
752,0.4624000676054446,Density,Curve 125,Length 100
756,0.0441896929554746,Torsion,Curve 126,Length 100
757,-0.1979583803475866,Curvature,Curve 126,Length 100
758,0.1979596175400268,Density,Curve 126,Length 100
762,0.0907557965357504,Torsion,Curve 127,Length 100
763,-0.1351621336555591,Curvature,Curve 127,Length 100
764,0.5488395883134861,Density,Curve 127,Length 100
768,-0.0330802656688339,Torsion,Curve 128,Length 100
769,-0.2070867013450179,Curvature,Curve 128,Length 100
770,0.4810670647171193,Density,Curve 128,Length 100
774,0.1770176521241067,Torsion,Curve 129,Length 100
775,-0.2451183870912815,Curvature,Curve 129,Length 100
776,0.4810585478537068,Density,Curve 129,Length 100
780,0.2107107771124909,Torsion,Curve 130,Length 100
781,-0.2744546909245635,Curvature,Curve 130,Length 100
782,0.2800230311823017,Density,Curve 130,Length 100
786,0.0150179568158715,Torsion,Curve 131,Length 100
787,-0.1311932629598039,Curvature,Curve 131,Length 100
788,0.4103932913569985,Density,Curve 131,Length 100
792,0.1413135204415411,Torsion,Curve 132,Length 100
793,-0.0725546164159363,Curvature,Curve 132,Length 100
794,0.3081059016548669,Density,Curve 132,Length 100
798,0.0865400112799182,Torsion,Curve 133,Length 100
799,-0.1741424457445743,Curvature,Curve 133,Length 100
800,0.4231322219257133,Density,Curve 133,Length 100
804,0.1348394901867483,Torsion,Curve 134,Length 100
805,-0.1235192142299576,Curvature,Curve 134,Length 100
806,0.4099662334653932,Density,Curve 134,Length 100
810,0.1132028274840381,Torsion,Curve 135,Length 100
811,-0.167428839778248,Curvature,Curve 135,Length 100
812,0.0587489110573485,Density,Curve 135,Length 100
816,-0.1090407414343999,Torsion,Curve 136,Length 100
817,-0.1111040193672822,Curvature,Curve 136,Length 100
818,0.3375032794559034,Density,Curve 136,Length 100
822,-0.0352807840729898,Torsion,Curve 137,Length 100
823,-0.1371906400184841,Curvature,Curve 137,Length 100
824,0.5693441381315479,Density,Curve 137,Length 100
828,0.0792057474894584,Torsion,Curve 138,Length 100
829,-0.2153634237654799,Curvature,Curve 138,Length 100
830,0.5614491201259795,Density,Curve 138,Length 100
834,0.2127019449658183,Torsion,Curve 139,Length 100
835,-0.2344431462990105,Curvature,Curve 139,Length 100
836,0.2731901613576144,Density,Curve 139,Length 100
840,0.2179217340813692,Torsion,Curve 140,Length 100
841,-0.2316227433761832,Curvature,Curve 140,Length 100
842,0.3430711401782017,Density,Curve 140,Length 100
846,-0.0104879658503114,Torsion,Curve 141,Length 100
847,-0.1065578102531339,Curvature,Curve 141,Length 100
848,0.3061397344246189,Density,Curve 141,Length 100
852,0.0442918073890325,Torsion,Curve 142,Length 100
853,-0.0487531228222001,Curvature,Curve 142,Length 100
854,0.4925665626123541,Density,Curve 142,Length 100
858,0.0838383512336516,Torsion,Curve 143,Length 100
859,-0.2352577578401927,Curvature,Curve 143,Length 100
860,0.4783695791932275,Density,Curve 143,Length 100
864,-0.0469819067359766,Torsion,Curve 144,Length 100
865,-0.0519656538387785,Curvature,Curve 144,Length 100
866,0.6541393823877906,Density,Curve 144,Length 100
870,0.1035794157647071,Torsion,Curve 145,Length 100
871,-0.1039723011196643,Curvature,Curve 145,Length 100
872,-0.0381393364082444,Density,Curve 145,Length 100
876,0.2580232143920338,Torsion,Curve 146,Length 100
877,-0.2227706741001107,Curvature,Curve 146,Length 100
878,0.5516654729552933,Density,Curve 146,Length 100
882,0.1038050140777447,Torsion,Curve 147,Length 100
883,-0.1926802041833924,Curvature,Curve 147,Length 100
884,0.5871920494993068,Density,Curve 147,Length 100
888,0.1063193008949149,Torsion,Curve 148,Length 100
889,-0.0719834866442285,Curvature,Curve 148,Length 100
890,0.1894155000076341,Density,Curve 148,Length 100
894,0.1462044051321455,Torsion,Curve 149,Length 100
895,-0.0365003056561249,Curvature,Curve 149,Length 100
896,0.232395377974734,Density,Curve 149,Length 100
900,-0.0194488268235413,Torsion,Curve 150,Length 100
901,-0.231296209826167,Curvature,Curve 150,Length 100
902,0.2495416623585892,Density,Curve 150,Length 100
906,0.0877013826968482,Torsion,Curve 151,Length 100
907,-0.1906794562872181,Curvature,Curve 151,Length 100
908,0.3420329365743375,Density,Curve 151,Length 100
912,0.0781910146336866,Torsion,Curve 152,Length 100
913,-0.1409957120946973,Curvature,Curve 152,Length 100
914,0.3831323201679931,Density,Curve 152,Length 100
918,0.0944633628493989,Torsion,Curve 153,Length 100
919,-0.0410538425546058,Curvature,Curve 153,Length 100
920,0.2414392996662459,Density,Curve 153,Length 100
924,0.1974175232406009,Torsion,Curve 154,Length 100
925,-0.2266925113451967,Curvature,Curve 154,Length 100
926,0.0204658335238478,Density,Curve 154,Length 100
930,0.0386993112797954,Torsion,Curve 155,Length 100
931,-0.0729409491408681,Curvature,Curve 155,Length 100
932,0.5020348610318718,Density,Curve 155,Length 100
936,0.260269737873961,Torsion,Curve 156,Length 100
937,-0.2407641193137506,Curvature,Curve 156,Length 100
938,0.1912827671768563,Density,Curve 156,Length 100
942,0.1630435691716757,Torsion,Curve 157,Length 100
943,-0.0211681398093143,Curvature,Curve 157,Length 100
944,0.3007538663130579,Density,Curve 157,Length 100
948,0.1089735240983425,Torsion,Curve 158,Length 100
949,-0.1908578681565178,Curvature,Curve 158,Length 100
950,0.1029863325241999,Density,Curve 158,Length 100
954,0.1974343390821026,Torsion,Curve 159,Length 100
955,-0.119919131285577,Curvature,Curve 159,Length 100
956,0.3927471725671245,Density,Curve 159,Length 100
960,0.1099861468000147,Torsion,Curve 160,Length 100
961,-0.1114234192986529,Curvature,Curve 160,Length 100
962,0.1225498422556621,Density,Curve 160,Length 100
966,0.2036873179250659,Torsion,Curve 161,Length 100
967,-0.0614779220099563,Curvature,Curve 161,Length 100
968,0.141224908793348,Density,Curve 161,Length 100
972,0.0716116036569992,Torsion,Curve 162,Length 100
973,-0.1978945574376757,Curvature,Curve 162,Length 100
974,0.4713374031436896,Density,Curve 162,Length 100
978,0.0275160824174974,Torsion,Curve 163,Length 100
979,-0.1319553106048935,Curvature,Curve 163,Length 100
980,0.4067299343153944,Density,Curve 163,Length 100
984,0.0711792312603693,Torsion,Curve 164,Length 100
985,0.0659808093289198,Curvature,Curve 164,Length 100
986,0.3726307984265753,Density,Curve 164,Length 100
990,0.1336697906375778,Torsion,Curve 165,Length 100
991,-0.131035136031099,Curvature,Curve 165,Length 100
992,0.3143916671343054,Density,Curve 165,Length 100
996,-0.0601375123181549,Torsion,Curve 166,Length 100
997,-0.0703298540248594,Curvature,Curve 166,Length 100
998,0.5154201069733617,Density,Curve 166,Length 100
1002,0.1736405019031803,Torsion,Curve 167,Length 100
1003,-0.0940363468910348,Curvature,Curve 167,Length 100
1004,0.4611680550992312,Density,Curve 167,Length 100
1008,0.2799611340803904,Torsion,Curve 168,Length 100
1009,-0.1489755406723891,Curvature,Curve 168,Length 100
1010,0.4051050680538128,Density,Curve 168,Length 100
1014,0.1480965089530887,Torsion,Curve 169,Length 100
1015,0.0857141994568608,Curvature,Curve 169,Length 100
1016,0.2422477760701905,Density,Curve 169,Length 100
1020,0.0903500612768186,Torsion,Curve 170,Length 100
1021,-0.0948491692745529,Curvature,Curve 170,Length 100
1022,0.4344933063369019,Density,Curve 170,Length 100
1026,0.1706492885099454,Torsion,Curve 171,Length 100
1027,-0.0320468703633039,Curvature,Curve 171,Length 100
1028,0.194497352784043,Density,Curve 171,Length 100
1032,-0.0705808906338918,Torsion,Curve 172,Length 100
1033,-0.1034909514726002,Curvature,Curve 172,Length 100
1034,0.5220592505836636,Density,Curve 172,Length 100
1038,-0.0447998710555067,Torsion,Curve 173,Length 100
1039,-0.1518964736747412,Curvature,Curve 173,Length 100
1040,0.3817927979367947,Density,Curve 173,Length 100
1044,0.1171356584703833,Torsion,Curve 174,Length 100
1045,-0.1479234032011142,Curvature,Curve 174,Length 100
